,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,efectos,evacuados,, DISMINUYE EL NÚMERO DE EVACUADOS EN ROCHA_27571,DISMINUYE EL NÚMERO DE EVACUADOS EN ROCHA,Admin,18/6/2020,7,"10,6%",,DOCUMENT
,efectos,inundación,, DISMINUYE EL NÚMERO DE EVACUADOS EN ROCHA_27571,DISMINUYE EL NÚMERO DE EVACUADOS EN ROCHA,Admin,18/6/2020,7,"10,6%",,DOCUMENT
,eventos meteorológicos,tormenta,, FIN DE SEMANA CON TORMENTAS_27389,FIN DE SEMANA CON TORMENTAS,Admin,18/6/2020,5,"8,3%",,DOCUMENT
,eventos meteorológicos,lluvia,, SIGUEN LAS LLUVIAS_30933,SIGUEN LAS LLUVIAS,Admin,18/6/2020,3,"5,2%",,DOCUMENT
,eventos meteorológicos,viento,, TORMENTA Y VIENTOS_27601,TORMENTA Y VIENTOS,Admin,18/6/2020,3,"5,2%",,DOCUMENT
,eventos meteorológicos,tormenta,, TORMENTA Y VIENTOS_27601,TORMENTA Y VIENTOS,Admin,18/6/2020,3,"5,2%",,DOCUMENT
,eventos meteorológicos,tormenta,, TORMENTAS PARA EL FIN DE SEMANA_25576,TORMENTAS PARA EL FIN DE SEMANA,Admin,18/6/2020,6,"9,4%",,DOCUMENT
,eventos meteorológicos,tornado,, TURBONADA EN CERRO LARGO,TURBONADA EN CERRO LARGO,Admin,18/6/2020,4,"6,3%",,DOCUMENT
,eventos meteorológicos,viento,, TURBONADA EN CERRO LARGO,TURBONADA EN CERRO LARGO,Admin,18/6/2020,4,"6,3%",,DOCUMENT
,eventos meteorológicos,viento,, TURBONADA EN CERRO LARGO_25437,TURBONADA EN CERRO LARGO,Admin,18/6/2020,4,"6,7%",,DOCUMENT
,eventos meteorológicos,tornado,, TURBONADA EN CERRO LARGO_25437,TURBONADA EN CERRO LARGO,Admin,18/6/2020,4,"6,7%",,DOCUMENT
