,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,efectos,evacuados,, 500 evacuados en todo el país_97077,? 500 evacuados en todo el paí,Admin,1/6/2020,6,"1,50%",,DOCUMENT
,efectos,inundación,, 500 evacuados en todo el país_97077,? 500 evacuados en todo el país,Admin,1/6/2020,6,"1,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, 500 evacuados en todo el país_97077,? 500 evacuados en todo el país,Admin,1/6/2020,6,"1,50%",,DOCUMENT
,efectos,evacuados,, 500 evacuados en todo el país_97077,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 500 evacuados en todo el país,Admin,1/6/2020,22,"5,40%",,DOCUMENT
,eventos meteorológicos,viento,, 500 evacuados en todo el país_97077,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 500 evacuados en todo el país,Admin,1/6/2020,22,"5,40%",,DOCUMENT
,eventos meteorológicos,viento,, Advertencia amarilla para el norte_98452,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 preocupación por el asalto y asesinato de tres marinos en el,Admin,1/6/2020,27,"10,00%",,DOCUMENT
,eventos meteorológicos,viento,, Advertencia sube a color naranja_95515,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"4,50%",,DOCUMENT
,efectos,inundación,, Casi 6.000 evacuados_ lluvias el fin de semana_97525,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país,Admin,1/6/2020,15,"5,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, Casi 6.000 evacuados_ lluvias el fin de semana_97525,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país,Admin,1/6/2020,15,"5,60%",,DOCUMENT
,efectos,evacuados,, Casi 6.000 evacuados_ lluvias el fin de semana_97525,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"5,90%",,DOCUMENT
,eventos meteorológicos,viento,, Casi 6.000 evacuados_ lluvias el fin de semana_97525,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"5,90%",,DOCUMENT
,efectos,destrozos,, Consecuencias del temporal_95930,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 ¿Qué dijo el ministro de Salud Pública ante las aglomeraciones en 18 de Julio?,Admin,1/6/2020,30,"10,90%",,DOCUMENT
,efectos,evacuados,, Consecuencias del temporal_95930,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 ¿Qué dijo el ministro de Salud Pública ante las aglomeraciones en 18 de Julio,Admin,1/6/2020,30,"10,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Consecuencias del temporal_95930,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 ¿Qué dijo el ministro de Salud Pública ante las aglomeraciones en 18 de Julio?,Admin,1/6/2020,30,"10,90%",,DOCUMENT
,eventos meteorológicos,viento,, Consecuencias del temporal_95930,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 ¿Qué dijo el ministro de Salud Pública ante las aglomeraciones en 18 de Julio?,Admin,1/6/2020,30,"10,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Continúan lluvias al norte del país_97138,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 preocupación por el asalto y asesinato de tres marinos en el,Admin,1/6/2020,27,"10,00%",,DOCUMENT
,eventos meteorológicos,lluvia,," Cortes de ruta en Rivera, Artigas y Canelones_97172",Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 preocupación por el asalto y asesinato de tres marinos en e,Admin,1/6/2020,27,"10,00%",,DOCUMENT
,efectos,inundación,," Cortes de ruta en Rivera, Artigas y Canelones_97172",Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 preocupación por el asalto y asesinato de tres marinos en el,Admin,1/6/2020,27,"10,00%",,DOCUMENT
,efectos,rutas cortadas,," Cortes de ruta en Rivera, Artigas y Canelones_97172",Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 preocupación por el asalto y asesinato de tres marinos en el,Admin,1/6/2020,27,"10,00%",,DOCUMENT
,efectos,rutas cortadas,, Cortes en rutas de Artigas y Rivera_97267,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país,Admin,1/6/2020,15,"4,80%",,DOCUMENT
,efectos,inundación,, Cortes en rutas de Artigas y Rivera_97267,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"5,10%",,DOCUMENT
,eventos meteorológicos,lluvia,, Cortes en rutas de Artigas y Rivera_97267,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"5,10%",,DOCUMENT
,Actores,SINAE,, El SNE analiza pasos a seguir por las inundaciones_97271,?El SNE analiza pasos a seguir por las inundacione,Admin,1/6/2020,9,"2,00%",,DOCUMENT
,efectos,inundación,, El SNE analiza pasos a seguir por las inundaciones_97271,?El SNE analiza pasos a seguir por las inundaciones,Admin,1/6/2020,9,"2,00%",,DOCUMENT
,respuestas,ayuda damnificados,, El SNE analiza pasos a seguir por las inundaciones_97271,?El SNE analiza pasos a seguir por las inundaciones,Admin,1/6/2020,9,"2,00%",,DOCUMENT
,Actores,SINAE,, El SNE analiza pasos a seguir por las inundaciones_97271,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"3,50%",,DOCUMENT
,respuestas,ayuda damnificados,, El SNE analiza pasos a seguir por las inundaciones_97271,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"3,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, En durazno llovieron 100 milímetros en cuatro horas_99492,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"4,90%",,DOCUMENT
,Actores,SINAE,, Estado de emergencia en Paysandú_97886,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país,Admin,1/6/2020,15,"4,40%",,DOCUMENT
,efectos,evacuados,, Estado de emergencia en Paysandú_97886,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país,Admin,1/6/2020,15,"4,40%",,DOCUMENT
,efectos,inundación,, Estado de emergencia en Paysandú_97886,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"4,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Estado de emergencia en Paysandú_97886,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"4,70%",,DOCUMENT
,efectos,inundación,, Evacuados esperan baja de agua_97587,?Evacuados esperan baja de agua,Admin,1/6/2020,5,"1,50%",,DOCUMENT
,efectos,evacuados,, Evacuados esperan baja de agua_97587,?Evacuados esperan baja de agua,Admin,1/6/2020,5,"1,50%",,DOCUMENT
,efectos,evacuados,, Evacuados esperan baja de agua_97587,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"4,70%",,DOCUMENT
,efectos,inundación,, Evacuados esperan baja de agua_97587,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"4,70%",,DOCUMENT
,efectos,evacuados,, Evacuados por inundaciones_99102,?Evacuados por inundaciones,Admin,1/6/2020,3,"1,00%",,DOCUMENT
,efectos,inundación,, Evacuados por inundaciones_99102,?Evacuados por inundaciones,Admin,1/6/2020,3,"1,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, Evacuados por inundaciones_99102,?Evacuados por inundaciones,Admin,1/6/2020,3,"1,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, Evacuados por inundaciones_99102,?Evacuados por inundacione,Admin,1/6/2020,3,"1,00%",,DOCUMENT
,efectos,evacuados,, Evacuados por inundaciones_99102,?Evacuados por inundaciones,Admin,1/6/2020,3,"1,00%",,DOCUMENT
,efectos,inundación,, Evacuados por inundaciones_99102,?Evacuados por inundaciones,Admin,1/6/2020,3,"1,00%",,DOCUMENT
,eventos meteorológicos,viento,, Evacuados por inundaciones_99102,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país,Admin,1/6/2020,15,"4,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Evacuados por inundaciones_99102,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país,Admin,1/6/2020,15,"4,90%",,DOCUMENT
,efectos,inundación,, Evacuados por inundaciones_99102,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"5,20%",,DOCUMENT
,efectos,evacuados,, Evacuados por inundaciones_99102,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"5,20%",,DOCUMENT
,efectos,evacuados,, Evacuados por tormenta_96877,?Evacuados por tormen,Admin,1/6/2020,3,"0,80%",,DOCUMENT
,efectos,inundación,, Evacuados por tormenta_96877,?Evacuados por torment,Admin,1/6/2020,3,"0,80%",,DOCUMENT
,eventos meteorológicos,tormenta,, Evacuados por tormenta_96877,?Evacuados por tormenta,Admin,1/6/2020,3,"0,80%",,DOCUMENT
