,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,efectos,inundación,, Cifra de evacuados descendió a 1425,?Cifra de evacuados descendió a 1425,Admin,13/5/2020,6,"2,10%",,DOCUMENT
,efectos,evacuados,, Cifra de evacuados descendió a 1425,?Cifra de evacuados descendió a 1425,Admin,13/5/2020,6,"2,10%",,DOCUMENT
,efectos,inundación,, Cinco rutas permanecen cortadas,?Cinco rutas permanecen cortadas,Admin,13/5/2020,4,"1,40%",,DOCUMENT
,efectos,rutas cortadas,, Cinco rutas permanecen cortadas,?Cinco rutas permanecen cortadas,Admin,13/5/2020,4,"1,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Complicaciones por las lluvias,?Complicaciones por las lluvias,Admin,13/5/2020,4,"1,10%",,DOCUMENT
,eventos meteorológicos,lluvia,, Complicaciones por las lluvias_182246,?Complicaciones por las lluvias,Admin,13/5/2020,4,"1,10%",,DOCUMENT
,efectos,evacuados,, Evacuados en Montevideo y Pando,?Evacuados en Montevideo y Pando,Admin,13/5/2020,5,"1,90%",,DOCUMENT
,efectos,inundación,, Evacuados en Montevideo y Pando,?Evacuados en Montevideo y Pando,Admin,13/5/2020,5,"1,90%",,DOCUMENT
,respuestas,soluciones ciudad,, Evacuados y cortes de energía,?Evacuados y cortes de ene,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,efectos,destrozos,, Evacuados y cortes de energía,?Evacuados y cortes de ener,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,efectos,destrozos,, Evacuados y cortes de energía,?Evacuados y cortes de energ,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,efectos,inundación,, Evacuados y cortes de energía,?Evacuados y cortes de energí,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,eventos meteorológicos,viento,, Evacuados y cortes de energía,?Evacuados y cortes de energía,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,efectos,evacuados,, Evacuados y cortes de energía,?Evacuados y cortes de energía,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,efectos,rutas cortadas,," Evacuados, destrozos y rutas cortadas","?Evacuados, destrozos y rutas corta",Admin,13/5/2020,5,"1,50%",,DOCUMENT
,efectos,destrozos,," Evacuados, destrozos y rutas cortadas","?Evacuados, destrozos y rutas cortad",Admin,13/5/2020,5,"1,50%",,DOCUMENT
,eventos meteorológicos,lluvia,," Evacuados, destrozos y rutas cortadas","?Evacuados, destrozos y rutas cortada",Admin,13/5/2020,5,"1,50%",,DOCUMENT
,eventos meteorológicos,viento,," Evacuados, destrozos y rutas cortadas","?Evacuados, destrozos y rutas cortadas",Admin,13/5/2020,5,"1,50%",,DOCUMENT
,efectos,evacuados,," Evacuados, destrozos y rutas cortadas","?Evacuados, destrozos y rutas cortadas",Admin,13/5/2020,5,"1,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, Lluvias entre lunes y martes,?Lluvias entre lunes y martes,Admin,13/5/2020,5,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Lluvias para el sábado,?Lluvias para el sábado,Admin,13/5/2020,4,"1,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, Lluvias para las fiestas,?Lluvias para las fiestas,Admin,13/5/2020,4,"1,20%",,DOCUMENT
,efectos,inundación,, Lluvias_ 33 evacuados en Soriano,?Lluvias: 33 evacuados en Soriano,Admin,13/5/2020,5,"2,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, Lluvias_ 33 evacuados en Soriano,?Lluvias: 33 evacuados en Soriano,Admin,13/5/2020,5,"2,20%",,DOCUMENT
,efectos,evacuados,, Lluvias_ 33 evacuados en Soriano,?Lluvias: 33 evacuados en Sorian,Admin,13/5/2020,5,"2,20%",,DOCUMENT
,efectos,inundación,, Lluvias_ 33 evacuados en Soriano,?Lluvias: 33 evacuados en Soriano,Admin,13/5/2020,5,"2,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, Lluvias_ 33 evacuados en Soriano,?Lluvias: 33 evacuados en Soriano,Admin,13/5/2020,5,"2,20%",,DOCUMENT
