,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,respuestas,ayuda damnificados,, Ejército Nacional colabora con damnificados por el tornado,Ejército Nacional colabora con damnificados por el tornado,Admin,29/4/2020,8,"2,10%",,DOCUMENT
,respuestas,ayuda damnificados,," Está en marcha una intensa campaña de solidaridad con las personas damnificadas por el tornado en Dolores - Noticias Uruguay, LARED21 Diario Digital",Hay quienes se están haciendo los osos con la ayuda a los evacuados: La Asociación Rural; la Cámara de la Construcción; las cadenas de supermercados y alguna más. Todavía están a tiempo para no hacer papelone,Admin,29/4/2020,36,"25,70%",,DOCUMENT
,efectos,evacuados,," Está en marcha una intensa campaña de solidaridad con las personas damnificadas por el tornado en Dolores - Noticias Uruguay, LARED21 Diario Digital",Hay quienes se están haciendo los osos con la ayuda a los evacuados: La Asociación Rural; la Cámara de la Construcción; las cadenas de supermercados y alguna más. Todavía están a tiempo para no hacer papelones,Admin,29/4/2020,36,"25,70%",,DOCUMENT
,efectos,destrozos,," Está en marcha una intensa campaña de solidaridad con las personas damnificadas por el tornado en Dolores - Noticias Uruguay, LARED21 Diario Digital","COSTA AZUL fue casi tragada en su totalidad, por las cañadas, y demas... que jamas se preocuparon por arreglar, y tenemos cientos de evacuados y casas derruidas, otras casi ahi,",Admin,29/4/2020,30,"21,40%",,DOCUMENT
,efectos,evacuados,," Está en marcha una intensa campaña de solidaridad con las personas damnificadas por el tornado en Dolores - Noticias Uruguay, LARED21 Diario Digital","COSTA AZUL fue casi tragada en su totalidad, por las cañadas, y demas... que jamas se preocuparon por arreglar, y tenemos cientos de evacuados y casas derruidas, otras casi ahi,",Admin,29/4/2020,30,"21,40%",,DOCUMENT
,respuestas,ayuda damnificados,, Estado de emergencia por tornado en Dolores - ECOS UY,Nacional de Emergencias (Sinae),Admin,29/4/2020,4,"1,70%",,DOCUMENT
,respuestas,ayuda damnificados,, Estado de emergencia por tornado en Dolores - ECOS UY,Nacional de Emergencias (Sinae).,Admin,29/4/2020,4,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, h,?Fin de semana lluvioso y con rachas de viento de hasta 70 km/h,Admin,29/4/2020,14,"3,90%",,DOCUMENT
,eventos meteorológicos,viento,, h,?Fin de semana lluvioso y con rachas de viento de hasta 70 km/h,Admin,29/4/2020,14,"3,90%",,DOCUMENT
,efectos,inundación,, Lluvias encienden alerta en zonas afectadas de San Carlos - ECOS UY,"“Se inundó alguna zona pero ya está bajando el agua y no hay afectaciones graves que lamentar”, dijo el secretario general de la Intendencia de Maldonado,",Admin,29/4/2020,26,"11,80%",,DOCUMENT
,eventos meteorológicos,lluvia,, Lluvias encienden alerta en zonas afectadas de San Carlos - ECOS UY,", y tienen a disposición edificios públicos ante la posibilidad de que haya evacuados, situación que aún no se registró.",Admin,29/4/2020,19,"8,60%",,DOCUMENT
,respuestas,ayuda damnificados,, Lluvias encienden alerta en zonas afectadas de San Carlos - ECOS UY,", y tienen a disposición edificios públicos ante la posibilidad de que haya evacuados, situación que aún no se registró.",Admin,29/4/2020,19,"8,60%",,DOCUMENT
,efectos,evacuados,, Maldonado y Melo inician reconstrucción tras temporal - ECOS UY,"Intendencia de Maldonado junto a otra del Sunca, alrededor de 100 personas.",Admin,29/4/2020,12,"4,80%",,DOCUMENT
,efectos,inundación,, Maldonado y Melo inician reconstrucción tras temporal - ECOS UY,"Intendencia de Maldonado junto a otra del Sunca, alrededor de 100 personas.",Admin,29/4/2020,12,"4,80%",,DOCUMENT
,Actores,Ejército,, Maldonado y Melo inician reconstrucción tras temporal - ECOS UY,"A su vez, personal del Ejército y Bomberos coopera en las tareas de limpieza",Admin,29/4/2020,14,"5,60%",,DOCUMENT
,respuestas,soluciones ciudad,, Maldonado y Melo inician reconstrucción tras temporal - ECOS UY,"A su vez, personal del Ejército y Bomberos coopera en las tareas de limpieza.",Admin,29/4/2020,14,"5,60%",,DOCUMENT
,eventos meteorológicos,tornado,, Maldonado y Melo inician reconstrucción tras temporal - ECOS UY,"A su vez, personal del Ejército y Bomberos coopera en las tareas de limpieza.",Admin,29/4/2020,14,"5,60%",,DOCUMENT
,efectos,evacuados,, Maldonado y Melo inician reconstrucción tras temporal - ECOS UY,"Según informó la Intendencia de Maldonado, 15 camiones trabajan en la zona apoyados por cuatro máquinas. Mientras, técnicos de las direcciones municipales de Obras, Higiene y Vivienda trabajan en la zona para asistir a los afectado",Admin,29/4/2020,36,"14,40%",,DOCUMENT
,respuestas,ayuda damnificados,, Maldonado y Melo inician reconstrucción tras temporal - ECOS UY,"Según informó la Intendencia de Maldonado, 15 camiones trabajan en la zona apoyados por cuatro máquinas. Mientras, técnicos de las direcciones municipales de Obras, Higiene y Vivienda trabajan en la zona para asistir a los afectados",Admin,29/4/2020,36,"14,40%",,DOCUMENT
,respuestas,soluciones ciudad,, Maldonado y Melo inician reconstrucción tras temporal - ECOS UY,"Según informó la Intendencia de Maldonado, 15 camiones trabajan en la zona apoyados por cuatro máquinas. Mientras, técnicos de las direcciones municipales de Obras, Higiene y Vivienda trabajan en la zona para asistir a los afectados.",Admin,29/4/2020,36,"14,40%",,DOCUMENT
,efectos,inundación,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,"""El número de personas desplazadas totaliza 4.031, entre evacuados y quienes salieron de sus viviendas por su propia voluntad y medios"", afirmó hoy el",Admin,29/4/2020,25,"11,20%",,DOCUMENT
