,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,lluvia,, 70 EVACUADOS EN MONTEVIDEO Y CIUDAD DE LA COSTA,Recibilas diariamente en tu email 70 EVACUADOS EN MONTEVIDEO Y CIUDAD DE LA COST,Admin,25/6/2020,14,"19,2%",,DOCUMENT
,efectos,inundación,, 70 EVACUADOS EN MONTEVIDEO Y CIUDAD DE LA COSTA,Recibilas diariamente en tu email 70 EVACUADOS EN MONTEVIDEO Y CIUDAD DE LA COSTA,Admin,25/6/2020,14,"19,2%",,DOCUMENT
,efectos,evacuados,, 70 EVACUADOS EN MONTEVIDEO Y CIUDAD DE LA COSTA,Recibilas diariamente en tu email 70 EVACUADOS EN MONTEVIDEO Y CIUDAD DE LA COSTA,Admin,25/6/2020,14,"19,2%",,DOCUMENT
,eventos meteorológicos,ola de frío,, FRÍO Y VIENTO_21951,FRÍO Y VIENTO,Admin,25/6/2020,3,"5,2%",,DOCUMENT
,eventos meteorológicos,viento,, FRÍO Y VIENTO_21951,FRÍO Y VIENTO,Admin,25/6/2020,3,"5,2%",,DOCUMENT
,efectos,evacuados,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADOS,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,efectos,inundación,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADOS,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,eventos meteorológicos,lluvia,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADO,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,efectos,evacuados,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADOS,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,efectos,inundación,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADOS,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,eventos meteorológicos,tormenta,, LA RENDIJA_21116,Inumet emitió alerta amarilla por tormentas fuertes en varias localidades 5,Admin,25/6/2020,11,"4,0%",,DOCUMENT
,eventos meteorológicos,lluvia,, LLUVIAS Y TORMENTAS PARA HOY,LLUVIAS Y TORMENTAS PARA HOY,Admin,25/6/2020,5,"8,9%",,DOCUMENT
,eventos meteorológicos,tormenta,, LLUVIAS Y TORMENTAS PARA HOY,LLUVIAS Y TORMENTAS PARA HOY,Admin,25/6/2020,5,"8,9%",,DOCUMENT
,eventos meteorológicos,tormenta,, METEOROLOGÍA ADVIERTE FUERTES TORMENTAS_21705,METEOROLOGÍA ADVIERTE FUERTES TORMENTAS,Admin,25/6/2020,4,"5,8%",,DOCUMENT
,eventos meteorológicos,tormenta,, TORMENTA EN RÍO NEGRO SIN LESIONADOS,TORMENTA EN RÍO NEGRO SIN LESIONADOS,Admin,25/6/2020,6,"9,4%",,DOCUMENT
