,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,tormenta,, Advierten sobre posible turbonada,El INUMET anuncia aumento de nubosidad con pr ecipitaciones y pr obables tormentas hacia la tar de-noche. La máxima ser á de 32 gr ados.,Admin,23/07/2020,26,"7,80%",,DOCUMENT
,respuestas,soluciones ciudad,, Consejos de guardavidas ante tormentas eléctricas,Consejos de guar davidas ante tormentas eléctrica,Admin,24/07/2020,7,"1,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, Consejos de guardavidas ante tormentas eléctricas,Consejos de guar davidas ante tormentas eléctricas,Admin,24/07/2020,7,"1,30%",,DOCUMENT
,Actores,Policía,, Consejos de Policía Caminera para retornar a la capital,? https://www .montevideo.com.uy/Noticias/Consejos-de-Policia-Caminera-para-retornar-a-la-capital-uc258932 2 / 13,Admin,23/07/2020,18,"4,10%",,DOCUMENT
,efectos,pavimento mojado,, Consejos de Policía Caminera para retornar a la capital,La poca de distancia entr e los vehículos y la falta de pr ecaución de los conductor es al conducir sobr e pavimento mojado son los factor es que Policía Caminer a identifica como de mayor riesgo a la hor a de planificar el oper ativo r etorno a la capital.,Admin,23/07/2020,51,"11,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Consejos de Policía Caminera para retornar a la capital,"El integr ante de Caminer a advirtió que ""la mayoría de los conductor es no adaptan su forma de conducción a las condiciones del pavimento, que cambia cuando llue ve"".",Admin,23/07/2020,30,"6,90%",,DOCUMENT
,eventos meteorológicos,ola de calor,, Directora de Salud dio algunas recomendaciones por ola de calor,El Instituto Uruguayo de Meteor ología emitió una advertencia par a todo el país entr e el mediodía del domingo y el mediodía del miér coles por una intensa ola de calor que afectar á al país.,Admin,23/07/2020,37,"8,20%",,DOCUMENT
,Actores,Mides,, Mides intensifica atención en refugios. Habrá -6°,Mides,Admin,23/07/2020,1,"0,20%",,DOCUMENT
,respuestas,soluciones ciudad,, Mides intensifica atención en refugios. Habrá -6°,"Dur ante el invierno funciona un Centr o Nocturno de Contingencia, con 50 plazas e xtr a par a atender la mayor demanda r egistr ada dur ante los días de más frío. En caso de que haya advertencia de nivel nar anja, está pr e visto que todos los r efugios funcionen las 24 hor as.",Admin,24/07/2020,57,"10,30%",,DOCUMENT
,eventos meteorológicos,ola de frío,, Mides intensifica atención en refugios. Habrá -6°,"Dur ante el invierno funciona un Centr o Nocturno de Contingencia, con 50 plazas e xtr a par a atender la mayor demanda r egistr ada dur ante los días de más frío. En caso de que haya advertencia de nivel nar anja, está pr e visto que todos los r efugios funcionen las 24 hor as.",Admin,24/07/2020,57,"10,30%",,DOCUMENT
,efectos,hipotermia,, Mides intensifica atención en refugios. Habrá -6°,"Un hombr e que vivía en situación de calle en la zona de Carr asco falleció este viernes, pr esuntamente por hipotermia.",Admin,24/07/2020,22,"4,00%",,DOCUMENT
,Actores,SINAE,, Mides intensifica atención en refugios. Habrá -6°,Consejos del SINAE par a el frío,Admin,24/07/2020,7,"1,30%",,DOCUMENT
,Actores,Intendencia,, Playas en Maldonado_ bandera negra para alertar sobre rayos,RAYOS Y CENTELL,Admin,24/07/2020,3,"0,80%",,DOCUMENT
,respuestas,soluciones ciudad,, Playas en Maldonado_ bandera negra para alertar sobre rayos,RAYOS Y CENTELLA,Admin,24/07/2020,3,"0,80%",,DOCUMENT
,eventos meteorológicos,rayos,, Playas en Maldonado_ bandera negra para alertar sobre rayos,RAYOS Y CENTELLAS,Admin,24/07/2020,3,"0,80%",,DOCUMENT
