,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,lluvia,, ALERTA DE LLUVIAS Y GRANIZO_32606,ALERTA DE LLUVIAS Y GRANIZO,Admin,18/6/2020,5,"8,1%",,DOCUMENT
,eventos meteorológicos,ola de frío,, FUERTES VIENTOS Y MUCHO FRÍO_33006,FUERTES VIENTOS Y MUCHO FRÍO,Admin,18/6/2020,5,"8,1%",,DOCUMENT
,eventos meteorológicos,viento,, FUERTES VIENTOS Y MUCHO FRÍO_33006,FUERTES VIENTOS Y MUCHO FRÍO,Admin,18/6/2020,5,"8,1%",,DOCUMENT
,eventos meteorológicos,lluvia,, LLUVIAS PARA LOS PRÓXIMOS DÍAS_32540,LLUVIAS PARA LOS PRÓXIMOS DÍAS,Admin,18/6/2020,5,"8,1%",,DOCUMENT
,eventos meteorológicos,tormenta,, TORMENTAS EL FIN DE SEMANA_35638,TORMENTAS EL FIN DE SEMANA,Admin,18/6/2020,5,"8,1%",,DOCUMENT
,eventos meteorológicos,tormenta,, VUELVEN LAS TORMENTAS_36731,?VUELVEN LAS TORMENTAS,Admin,18/6/2020,3,"1,1%",,DOCUMENT
