,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,lluvia,, ADVERTENCIA POR LLUVIAS ABUNDANTES_55388,?ADVERTENCIA POR LLUVIAS ABUNDANTES,Admin,6/6/2020,4,"1,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, ALERTA METEOROLÓGICA DE TORMENTAS INTENSAS_56789,?ALERTA METEOROLÓGICA DE TORMENTAS,Admin,6/6/2020,4,"1,00%",,DOCUMENT
,efectos,inundación,, ANUNCIAN INUNDACIONES POR TORMENTAS_62238,?ANUNCIAN INUNDACIONES POR TORMENTAS,Admin,6/6/2020,4,"1,00%",,DOCUMENT
,eventos meteorológicos,tormenta,, ANUNCIAN INUNDACIONES POR TORMENTAS_62238,?ANUNCIAN INUNDACIONES POR TORMENTAS,Admin,6/6/2020,4,"1,00%",,DOCUMENT
,eventos meteorológicos,tormenta,, ANUNCIO DE TORMENTAS SEVERAS_60960,?ANUNCIO DE TORMENTAS SEVERAS,Admin,6/6/2020,4,"1,00%",,DOCUMENT
,eventos meteorológicos,ola de frío,, CONTINÚAN LAS LLUVIAS Y EL FRÍO_63479,?CONTINÚAN LAS LLUVIAS Y EL FRÍO,Admin,6/6/2020,6,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, CONTINÚAN LAS LLUVIAS Y EL FRÍO_63479,?CONTINÚAN LAS LLUVIAS Y EL FRÍO,Admin,6/6/2020,6,"1,70%",,DOCUMENT
,eventos meteorológicos,ola de calor,, DEL CALOR A LAS LLUVIAS_56707,?DEL CALOR A LAS LLUVIAS,Admin,6/6/2020,5,"1,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, DEL CALOR A LAS LLUVIAS_56707,?DEL CALOR A LAS LLUVIAS,Admin,6/6/2020,5,"1,60%",,DOCUMENT
,respuestas,ayuda damnificados,, DEL CALOR A LAS LLUVIAS_56707,"DEL CALOR A LAS LLUVIAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva f",Admin,6/6/2020,20,"6,30%",,DOCUMENT
,efectos,evacuados,, DEL CALOR A LAS LLUVIAS_56707,"DEL CALOR A LAS LLUVIAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fa",Admin,6/6/2020,20,"6,30%",,DOCUMENT
,efectos,inundación,, DEL CALOR A LAS LLUVIAS_56707,"DEL CALOR A LAS LLUVIAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fas",Admin,6/6/2020,20,"6,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, DEL CALOR A LAS LLUVIAS_56707,"DEL CALOR A LAS LLUVIAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase",Admin,6/6/2020,20,"6,30%",,DOCUMENT
,eventos meteorológicos,ola de calor,, DEL CALOR A LAS LLUVIAS_56707,"DEL CALOR A LAS LLUVIAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase",Admin,6/6/2020,20,"6,30%",,DOCUMENT
,eventos meteorológicos,ola de calor,, MÁS CALOR Y TORMENTAS EN LOS PRÓXIMOS DÍAS_55558,?MÁS CALOR Y TORMENTAS EN LOS PRÓXIMOS DÍAS,Admin,6/6/2020,8,"2,10%",,DOCUMENT
,eventos meteorológicos,tormenta,, MÁS CALOR Y TORMENTAS EN LOS PRÓXIMOS DÍAS_55558,?MÁS CALOR Y TORMENTAS EN LOS PRÓXIMOS DÍAS,Admin,6/6/2020,8,"2,10%",,DOCUMENT
,respuestas,ayuda damnificados,, MÁS LLUVIAS Y DESCENSO DE TEMPERATURA_62595,?MÁS LLUVIAS Y DESCENSO DE TEMPERATURA,Admin,6/6/2020,6,"1,50%",,DOCUMENT
,eventos meteorológicos,ola de frío,, MÁS LLUVIAS Y DESCENSO DE TEMPERATURA_62595,MÁS LLUVIAS Y DESCENSO DE TEMPERATURA,Admin,6/6/2020,6,"1,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, MÁS LLUVIAS Y DESCENSO DE TEMPERATURA_62595,MÁS LLUVIAS Y DESCENSO DE TEMPERATURA,Admin,6/6/2020,6,"1,50%",,DOCUMENT
,eventos meteorológicos,ola de calor,, OLA DE CALOR HASTA EL 10 DE ENERO_55182,?OLA DE CALOR HASTA EL 10 DE ENERO,Admin,6/6/2020,8,"1,80%",,DOCUMENT
