,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,tormenta,, Advertencia amarilla por tormentas intensas,?Advertencia amarilla por tormentas intensas,Admin,13/5/2020,5,"1,70%",,DOCUMENT
,eventos meteorológicos,tormenta,, Calor y tormentas este domingo,Calor y tormentas este domingo,Admin,13/5/2020,5,"1,50%",,DOCUMENT
,respuestas,ayuda damnificados,, Evacuados en Rocha vuelven a sus casas,?Evacuados en Rocha vuelven a sus casa,Admin,13/5/2020,7,"2,30%",,DOCUMENT
,efectos,inundación,, Evacuados en Rocha vuelven a sus casas,?Evacuados en Rocha vuelven a sus casas,Admin,13/5/2020,7,"2,30%",,DOCUMENT
,efectos,evacuados,, Evacuados en Rocha vuelven a sus casas,?Evacuados en Rocha vuelven a sus casas,Admin,13/5/2020,7,"2,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, Nueva alerta amarilla por tormentas,?Nueva alerta amarilla por tormentas,Admin,13/5/2020,5,"1,70%",,DOCUMENT
,eventos meteorológicos,tormenta,, Postales de una tormenta montevideana,Postales de una tormenta montevideana,Admin,13/5/2020,5,"1,30%",,DOCUMENT
