,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,tormenta,, Alerta naranja por fuertes tormentas,?Alerta naranja por fuertes tormentas,Admin,22/5/2020,5,"1,70%",,DOCUMENT
,eventos meteorológicos,tormenta,, Alerta naranja por fuertes tormentas,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,40%",,DOCUMENT
,eventos meteorológicos,viento,, Destrozos en Artigas por temporal,Pou participó del acto por el 209 aniversario del Ejército 4 nohaydosintres,Admin,22/5/2020,12,"9,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Destrozos en Artigas por temporal,Pou participó del acto por el 209 aniversario del Ejército 4 nohaydosintres,Admin,22/5/2020,12,"9,40%",,DOCUMENT
,eventos meteorológicos,ola de frío,, Entre la ola de frío y las cenizas,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,00%",,DOCUMENT
,eventos meteorológicos,viento,, Meteorología_ _vientos muy fuertes_,"?Meteorología: ""vientos muy fuertes""",Admin,22/5/2020,4,"1,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ lluvias en norte y este_130601,?Meteorología: lluvias en norte y este,Admin,22/5/2020,6,"1,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ lluvias entre jueves y sábado_136333,?Meteorología: lluvias entre jueves y sábado,Admin,22/5/2020,6,"1,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ lluvias hasta el sábado_132137,?Meteorología: lluvias hasta el sábado,Admin,22/5/2020,5,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ lluvias hasta el sábado_134089,?Meteorología: lluvias hasta el sábado,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ lluvias jueves y viernes_128322,?Meteorología: lluvias jueves y viernes,Admin,22/5/2020,5,"1,80%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ lluvias miércoles y jueves_133992,?Meteorología: lluvias miércoles y jueves,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ lluvias para el sábado_131595,?Meteorología: lluvias para el sábado,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ lluvias para martes y miércoles_127946,?Meteorología: lluvias para martes y miércoles,Admin,22/5/2020,6,"1,80%",,DOCUMENT
,eventos meteorológicos,tormenta,, Meteorología_ tormentas hacia la noche_135729,?Meteorología: tormentas hacia la noche,Admin,22/5/2020,5,"1,70%",,DOCUMENT
,efectos,evacuados,, Podrían evacuar familias por lluvias_130220,?Podrían evacuar familias por lluvias,Admin,22/5/2020,5,"1,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Podrían evacuar familias por lluvias_130220,?Podrían evacuar familias por lluvias,Admin,22/5/2020,5,"1,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Precauciones por posible temporal,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,30%",,DOCUMENT
,eventos meteorológicos,viento,, Precauciones por posible temporal,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,30%",,DOCUMENT
,eventos meteorológicos,viento,, Se inicia reconstrucción tras turbonada_129225,?Se inicia reconstrucción tras turbonada,Admin,22/5/2020,5,"1,80%",,DOCUMENT
,eventos meteorológicos,lluvia,, Tormentas y lluvias abundantes_136302,?Tormentas y lluvias abundantes,Admin,22/5/2020,4,"1,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, Tormentas y lluvias abundantes_136302,?Tormentas y lluvias abundantes,Admin,22/5/2020,4,"1,30%",,DOCUMENT
,eventos meteorológicos,viento,, Turbonada en Cerro Largo y Treinta y Tres_128644,?Turbonada en Cerro Largo y Treinta y Tres,Admin,22/5/2020,8,"2,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, Turbonada en Cerro Largo y Treinta y Tres_128644,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"2,80%",,DOCUMENT
,eventos meteorológicos,viento,, Turbonada en Cerro Largo y Treinta y Tres_128644,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"2,80%",,DOCUMENT
