,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,Actores,Policía,, Sigue advertencia por lluvias y tormentas. Hay 1127 desplazados por inundaciones,"La Dir ección Nacional de Policía informó que hay dos rutas cortadas en distintos tr amos: la Ruta 27 a la altur a del kilómetr o 5,500, en el par aje Chalet El Gato (River a), y, en Bella Unión,  la Ruta 30 en el kilómetr o 96 (Arr o yo T r es Cruces), en el kilómetr o 61 (Cañada de La Quinta), y en el kilómetr o 60 (Arr o yo Cua",Admin,24/07/2020,75,"14,00%",,DOCUMENT
,efectos,rutas cortadas,, Sigue advertencia por lluvias y tormentas. Hay 1127 desplazados por inundaciones,"La Dir ección Nacional de Policía informó que hay dos rutas cortadas en distintos tr amos: la Ruta 27 a la altur a del kilómetr o 5,500, en el par aje Chalet El Gato (River a), y, en Bella Unión,  la Ruta 30 en el kilómetr o 96 (Arr o yo T r es Cruces), en el kilómetr o 61 (Cañada de La Quinta), y en el kilómetr o 60 (Arr o yo Cuar",Admin,24/07/2020,75,"14,00%",,DOCUMENT
,efectos,evacuados,, Sigue advertencia por lluvias y tormentas. Hay 1127 desplazados por inundaciones,"La Dir ección Nacional de Policía informó que hay dos rutas cortadas en distintos tr amos: la Ruta 27 a la altur a del kilómetr o 5,500, en el par aje Chalet El Gato (River a), y, en Bella Unión,  la Ruta 30 en el kilómetr o 96 (Arr o yo T r es Cruces), en el kilómetr o 61 (Cañada de La Quinta), y en el kilómetr o 60 (Arr o yo Cuar",Admin,24/07/2020,75,"14,00%",,DOCUMENT
,efectos,inundación,, Sigue advertencia por lluvias y tormentas. Hay 1127 desplazados por inundaciones,"La Dir ección Nacional de Policía informó que hay dos rutas cortadas en distintos tr amos: la Ruta 27 a la altur a del kilómetr o 5,500, en el par aje Chalet El Gato (River a), y, en Bella Unión,  la Ruta 30 en el kilómetr o 96 (Arr o yo T r es Cruces), en el kilómetr o 61 (Cañada de La Quinta), y en el kilómetr o 60 (Arr o yo Cuar ó",Admin,24/07/2020,76,"14,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, Sigue advertencia por lluvias y tormentas. Hay 1127 desplazados por inundaciones,"La Dir ección Nacional de Policía informó que hay dos rutas cortadas en distintos tr amos: la Ruta 27 a la altur a del kilómetr o 5,500, en el par aje Chalet El Gato (River a), y, en Bella Unión,  la Ruta 30 en el kilómetr o 96 (Arr o yo T r es Cruces), en el kilómetr o 61 (Cañada de La Quinta), y en el kilómetr o 60 (Arr o yo Cuar ó).",Admin,24/07/2020,76,"14,20%",,DOCUMENT
,Actores,SINAE,, Tres rutas permanecen cortadas; disminuyó número de evacuados,"Según los últimos datos del Sinae, disminuyó a cinco el númer o de personas e vacuadas por tormentas en el interior del país. T r es rutas nacionales permanecen cortadas por las lluvias, que continuar án hasta el miér coles en gr an parte del país, según Inumet.",Admin,24/07/2020,48,"10,70%",,DOCUMENT
,efectos,evacuados,, Tres rutas permanecen cortadas; disminuyó número de evacuados,"En su r eporte de este domingo el Sinae da cuenta de que siete personas, en T r einta y T r es, r egr esar on a sus viviendas por lo que el númer o de e vacuados por los r ecientes e",Admin,24/07/2020,44,"9,80%",,DOCUMENT
,efectos,inundación,, Tres rutas permanecen cortadas; disminuyó número de evacuados,"En su r eporte de este domingo el Sinae da cuenta de que siete personas, en T r einta y T r es, r egr esar on a sus viviendas por lo que el númer o de e vacuados por los r ecientes e ventos meteor ológicos quedó en cinco",Admin,24/07/2020,50,"11,10%",,DOCUMENT
,efectos,rutas cortadas,, Tres rutas permanecen cortadas; disminuyó número de evacuados,"Según el último r eporte de la Dir ección Nacional de Policía Caminer a permanece cortada la ruta 61 a la altur a del km 21 en  Picada Beníte z, la ruta 97 a la altur a del km 234 en Paso Albertario (ambas en el departamento de Colonia) y la ruta 14 a la altur a del km 81 en Paso Lugo, Flor es.",Admin,24/07/2020,65,"14,50%",,DOCUMENT
,efectos,corte de luz eléctrica,, UTE informó de daños en red eléctrica de distribución por causa de tormentas,"Hay 12 e vacuados por intensas tormentas: siete en T r einta y T r es y cinco en Colonia. Además, el Sinae informó sobr e rutas cortadas y daños en la r ed eléctrica de distribución de todo el país. UTE lle va r egistr ados un total de 8.500 r ecla",Admin,24/07/2020,54,"14,40%",,DOCUMENT
,efectos,rutas cortadas,, UTE informó de daños en red eléctrica de distribución por causa de tormentas,"Hay 12 e vacuados por intensas tormentas: siete en T r einta y T r es y cinco en Colonia. Además, el Sinae informó sobr e rutas cortadas y daños en la r ed eléctrica de distribución de todo el país. UTE lle va r egistr ados un total de 8.500 r eclamos",Admin,24/07/2020,54,"14,40%",,DOCUMENT
,efectos,evacuados,, UTE informó de daños en red eléctrica de distribución por causa de tormentas,"Hay 12 e vacuados por intensas tormentas: siete en T r einta y T r es y cinco en Colonia. Además, el Sinae informó sobr e rutas cortadas y daños en la r ed eléctrica de distribución de todo el país. UTE lle va r egistr ados un total de 8.500 r eclamos.",Admin,24/07/2020,54,"14,40%",,DOCUMENT
,eventos meteorológicos,tormenta,, UTE informó de daños en red eléctrica de distribución por causa de tormentas,"Hay 12 e vacuados por intensas tormentas: siete en T r einta y T r es y cinco en Colonia. Además, el Sinae informó sobr e rutas cortadas y daños en la r ed eléctrica de distribución de todo el país. UTE lle va r egistr ados un total de 8.500 r eclamos.",Admin,24/07/2020,54,"14,40%",,DOCUMENT
,Actores,UTE,, UTE informó de daños en red eléctrica de distribución por causa de tormentas,"Los fuertes vientos vinculados al fenómeno meteor ológico que sacude Uruguay ocasionar on daños en la r ed eléctrica de distribución, según informó UTE.",Admin,24/07/2020,24,"6,40%",,DOCUMENT
,eventos meteorológicos,viento,, UTE informó de daños en red eléctrica de distribución por causa de tormentas,"Los fuertes vientos vinculados al fenómeno meteor ológico que sacude Uruguay ocasionar on daños en la r ed eléctrica de distribución, según informó UTE.",Admin,24/07/2020,24,"6,40%",,DOCUMENT
