,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,Actores,Organizaciones,," 260135Música y teatro en beneficio de los damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",?Música y teatro en beneficio de los damnificados por las inundaciones - ..,Admin,12/6/2020,11,"33,3%",,DOCUMENT
,respuestas,ayuda damnificados,," 260135Música y teatro en beneficio de los damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",?Música y teatro en beneficio de los damnificados por las inundaciones - ...,Admin,12/6/2020,11,"33,3%",,DOCUMENT
,efectos,evacuados,," 260135Música y teatro en beneficio de los damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",?Música y teatro en beneficio de los damnificados por las inundaciones - ...,Admin,12/6/2020,11,"33,3%",,DOCUMENT
,eventos meteorológicos,lluvia,," Advertencia meteorológica_ tormenta, lluvia y granizada - Noticias Uruguay, LARED21 Diario Digital","Advertencia meteorológica: tormenta, lluvia y granizada - Noticias Urug...",Admin,12/6/2020,8,"44,4%",,DOCUMENT
,eventos meteorológicos,tormenta,," Advertencia meteorológica_ tormenta, lluvia y granizada - Noticias Uruguay, LARED21 Diario Digital","Advertencia meteorológica: tormenta, lluvia y granizada - Noticias Urug...",Admin,12/6/2020,8,"44,4%",,DOCUMENT
,respuestas,ayuda damnificados,, DONACIONES A LOS EVACUADOS,?DONACIONES A LOS EVACUADO,Admin,12/6/2020,4,"1,3%",,DOCUMENT
,efectos,evacuados,, DONACIONES A LOS EVACUADOS,?DONACIONES A LOS EVACUADOS,Admin,12/6/2020,4,"1,3%",,DOCUMENT
,efectos,inundación,, DONACIONES A LOS EVACUADOS,?DONACIONES A LOS EVACUADOS,Admin,12/6/2020,4,"1,3%",,DOCUMENT
,efectos,inundación,, DONACIONES A LOS EVACUADOS,Rutas cortada,Admin,12/6/2020,2,"0,7%",,DOCUMENT
,efectos,inundación,, DONACIONES A LOS EVACUADOS,Rutas cortadas,Admin,12/6/2020,2,"0,7%",,DOCUMENT
,efectos,rutas cortadas,, DONACIONES A LOS EVACUADOS,Rutas cortadas,Admin,12/6/2020,2,"0,7%",,DOCUMENT
,Actores,Organizaciones,, ESPECTÁCULO A BENEFICIO DE LOS DAMNIFICADOS POR LAS INUNDACIONES_43966,POR LAS INUNDACION,Admin,12/6/2020,3,"0,9%",,DOCUMENT
,respuestas,ayuda damnificados,, ESPECTÁCULO A BENEFICIO DE LOS DAMNIFICADOS POR LAS INUNDACIONES_43966,POR LAS INUNDACIONE,Admin,12/6/2020,3,"0,9%",,DOCUMENT
,efectos,evacuados,, ESPECTÁCULO A BENEFICIO DE LOS DAMNIFICADOS POR LAS INUNDACIONES_43966,POR LAS INUNDACIONES,Admin,12/6/2020,3,"0,9%",,DOCUMENT
,efectos,inundación,, ESPECTÁCULO A BENEFICIO DE LOS DAMNIFICADOS POR LAS INUNDACIONES_43966,POR LAS INUNDACIONES,Admin,12/6/2020,3,"0,9%",,DOCUMENT
,efectos,rutas cortadas,," EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS","?EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS",Admin,12/6/2020,5,"1,7%",,DOCUMENT
,efectos,evacuados,," EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS","?EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS",Admin,12/6/2020,5,"1,7%",,DOCUMENT
,efectos,inundación,," EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS","?EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS",Admin,12/6/2020,5,"1,7%",,DOCUMENT
,eventos meteorológicos,lluvia,," EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS","?EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS",Admin,12/6/2020,5,"1,7%",,DOCUMENT
,efectos,inundación,," EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS","?EVACUADOS, ADVERTENCIAS Y RUTAS CORTADA",Admin,12/6/2020,5,"1,7%",,DOCUMENT
,efectos,evacuados,," EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS","?EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS",Admin,12/6/2020,5,"1,7%",,DOCUMENT
,efectos,rutas cortadas,," EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS","?EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS",Admin,12/6/2020,5,"1,7%",,DOCUMENT
,efectos,evacuados,, INUNDACIONES_ 12.000 EVACUADOS,?INUNDACIONES: 12.000 EVACUADOS,Admin,12/6/2020,4,"1,3%",,DOCUMENT
,efectos,inundación,, INUNDACIONES_ 12.000 EVACUADOS,?INUNDACIONES: 12.000 EVACUADOS,Admin,12/6/2020,4,"1,3%",,DOCUMENT
,eventos meteorológicos,lluvia,, INUNDACIONES_ 12.000 EVACUADOS,?INUNDACIONES: 12.000 EVACUADOS,Admin,12/6/2020,4,"1,3%",,DOCUMENT
,efectos,evacuados,, INUNDACIONES_ 12.000 EVACUADOS,?INUNDACIONES: 12.000 EVACUADO,Admin,12/6/2020,4,"1,3%",,DOCUMENT
,efectos,inundación,, INUNDACIONES_ 12.000 EVACUADOS,?INUNDACIONES: 12.000 EVACUADOS,Admin,12/6/2020,4,"1,3%",,DOCUMENT
,eventos meteorológicos,lluvia,, INUNDACIONES_ 12.000 EVACUADOS,?INUNDACIONES: 12.000 EVACUADOS,Admin,12/6/2020,4,"1,3%",,DOCUMENT
,efectos,inundación,, MÁS EVACUADOS POR INUNDACIONES_42857,?MÁS EVACUADOS POR INUNDACIONES,Admin,12/6/2020,4,"1,4%",,DOCUMENT
,eventos meteorológicos,lluvia,, MÁS EVACUADOS POR INUNDACIONES_42857,?MÁS EVACUADOS POR INUNDACIONES,Admin,12/6/2020,4,"1,4%",,DOCUMENT
,efectos,evacuados,, MÁS EVACUADOS POR INUNDACIONES_42857,?MÁS EVACUADOS POR INUNDACIONES,Admin,12/6/2020,4,"1,4%",,DOCUMENT
,efectos,evacuados,, MÁS EVACUADOS POR INUNDACIONES_42857,?MÁS EVACUADOS POR INUNDACIONE,Admin,12/6/2020,4,"1,4%",,DOCUMENT
,efectos,inundación,, MÁS EVACUADOS POR INUNDACIONES_42857,?MÁS EVACUADOS POR INUNDACIONES,Admin,12/6/2020,4,"1,4%",,DOCUMENT
,eventos meteorológicos,lluvia,, MÁS EVACUADOS POR INUNDACIONES_42857,?MÁS EVACUADOS POR INUNDACIONES,Admin,12/6/2020,4,"1,4%",,DOCUMENT
,Actores,Organizaciones,," Música y teatro en beneficio de los damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",?Música y teatro en beneficio de los damnificados por las inundaciones - .,Admin,12/6/2020,11,"33,3%",,DOCUMENT
,respuestas,ayuda damnificados,," Música y teatro en beneficio de los damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",?Música y teatro en beneficio de los damnificados por las inundaciones - ..,Admin,12/6/2020,11,"33,3%",,DOCUMENT
,efectos,evacuados,," Música y teatro en beneficio de los damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",?Música y teatro en beneficio de los damnificados por las inundaciones - ...,Admin,12/6/2020,11,"33,3%",,DOCUMENT
,efectos,inundación,," Música y teatro en beneficio de los damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",?Música y teatro en beneficio de los damnificados por las inundaciones - ...,Admin,12/6/2020,11,"33,3%",,DOCUMENT
,respuestas,ayuda damnificados,, RECITALES A BENEFICIO DE DAMNIFICADOS_43225,?RECITALES A BENEFICIO DE DAMNIFICADO,Admin,12/6/2020,5,"1,4%",,DOCUMENT
,efectos,evacuados,, RECITALES A BENEFICIO DE DAMNIFICADOS_43225,?RECITALES A BENEFICIO DE DAMNIFICADOS,Admin,12/6/2020,5,"1,4%",,DOCUMENT
,efectos,inundación,, RECITALES A BENEFICIO DE DAMNIFICADOS_43225,?RECITALES A BENEFICIO DE DAMNIFICADOS,Admin,12/6/2020,5,"1,4%",,DOCUMENT
,eventos meteorológicos,tormenta,, SE VIENEN LAS TORMENTAS_38133,?SE VIENEN LAS TORMENTAS,Admin,12/6/2020,4,"1,4%",,DOCUMENT
,eventos meteorológicos,tormenta,, SE VIENEN LAS TORMENTAS_38133,?SE VIENEN LAS TORMENTAS,Admin,12/6/2020,4,"1,4%",,DOCUMENT
,eventos meteorológicos,tormenta,, TORMENTAS A PARTIR DE HOY_41455,?TORMENTAS A PARTIR DE HOY,Admin,12/6/2020,5,"1,7%",,DOCUMENT
