,CATEGORIA,CODIGO,TEXTO
50,eventos meteorológicos,viento,"?Evacuados, destrozos y rutas cortadas"
51,eventos meteorológicos,viento,? 13 árboles caídos en Montevideo
52,eventos meteorológicos,viento,?Advierten por posible turbonada y abundantes lluvias a partir del viernes
53,eventos meteorológicos,viento,?Ramis confirma temporal de viento
54,eventos meteorológicos,viento,?Advertencia amarilla por vientos y tormentas
55,eventos meteorológicos,viento,?Destrozos por temporal en el norte
56,eventos meteorológicos,viento,?Destrozos por temporal en el norte
57,eventos meteorológicos,viento,Destrozos por temporal en el norte
58,eventos meteorológicos,viento,"?Domingo: tormentas, lluvia y fuertes viento"
59,eventos meteorológicos,viento,?Frío y viento para lunes y martes
60,eventos meteorológicos,viento,Frío y viento para lunes y martes
61,eventos meteorológicos,viento,"Montevideo: 40 evacuados, árboles caídos y obstrucción de saneamient"
62,eventos meteorológicos,viento,?Sigue advertencia Amarilla por vientos y tormentas
63,eventos meteorológicos,viento,"?Viento, lluvia y frío para el fin de semana"
64,eventos meteorológicos,viento,"Los fuertes vientos vinculados al fenómeno meteor ológico que sacude Uruguay ocasionar on daños en la r ed eléctrica de distribución, según informó UTE."
65,eventos meteorológicos,viento,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm)."
66,eventos meteorológicos,viento,?Fin de semana lluvioso y con rachas de viento de hasta 70 km/h
67,eventos meteorológicos,viento,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.)."
68,eventos meteorológicos,viento,"Al final habrá o no tormentas y viento,no entiendo si el informe es viejo o no.aclaren bien porque da a confusión.gracias"
69,eventos meteorológicos,viento,Eso que dan es del 2016. Entren a metsul por face y la noticia es actual y abajo aclara que la gente divulgó una noticia del 2014. Algo de lluvia y algo de viento va a venir parece q no muy fuertes.
70,eventos meteorológicos,viento,Eso que dan es del 2016. Entren a metsul por face y la noticia es actual y abajo aclara que la gente divulgó una noticia del 2014. Algo de lluvia y algo de viento va a venir parece q no muy fuertes.
71,eventos meteorológicos,viento,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm)."
72,eventos meteorológicos,viento,"Se prevén precipitaciones abuntantes entre 20-50 mm en 6 horas, ocasional caída de granizo, rachas de viento fuerte del SW entre 60-75 km/h e intensa actividad eléctrica."
73,eventos meteorológicos,viento,"""Una masa de aire cálido e inestable en interacción con un frente frío que se aproxima por el suroeste, genera el desarrollo de tormentas, con ocasional precipitación de granizo, intensa actividad eléctrica, probables rachas de viento entre 60-75 km/h, y precipitaciones entre 20-40 mm en seis horas"", se advierte"
74,eventos meteorológicos,viento,"En Artigas, Salto, Rivera, Tacuarembó y Cerro Largo, se señala que una ""masa aire cálida, húmeda e inestable continúa interaccionando con frente frío que se desplaza lentamente del Suroeste al Norte"" lo que favorece que continúen desarrollándose tormentas, acompañadas de ""precipitaciones copiosas (50 - 80 mm en 6 hs.), intensa actividad eléctrica, caída de granizo y rachas de viento muy fuerte entre 75 - 100 km/h""."
75,eventos meteorológicos,viento,"Por lo tanto para esta parte del país se esperan precipitaciones abundantes, rachas de viento de entre 75 y 120 kilómetros por hora, intensa actividad eléctrica y ocasional caída de granizo."
76,eventos meteorológicos,viento,"-100 mm), ocasionales granizadas, rachas de viento del SW entre 75 - 120 km/h, e intensa actividad eléctrica."
77,eventos meteorológicos,viento,"El organismo informó este mediodía que en esta zona hay tormentas fuertes que pueden llegar incluir rachas de viento superiores a 120 kilómetros por hora, granizo, intensa actividad eléctrica y lluvia intensa. El pronóstico rige hasta las 18:00 horas de este martes."
78,eventos meteorológicos,viento,VIDEO | Ráfagas de viento en Salto
79,eventos meteorológicos,viento,"Maldonado, tras los fuertes vientos registrados entre el miércoles y jueves en todo el país. Mientras que los desplazados en"
80,eventos meteorológicos,viento,"Según indica en su informe, esto puede estar acompañado de rachas de viento fuertes en la zona sur lo que podría incrementarse el martes 26. Junto a esto se espera un aumento del oleaje en el Río de la Plata y el Mar territorial uruguayo."
81,eventos meteorológicos,viento,"Asimismo, permanecen cortadas las rutas 3, 6, 11, 46, 61 y 82."
82,eventos meteorológicos,viento,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.)."
83,eventos meteorológicos,viento,? grandes destrozos
84,eventos meteorológicos,viento,"Siguen los vientos fuertes, hay evacuados y grandes destrozos - ECOS UY 8 personas evacuadas en Canelones y varios semáforos caídos en Montevideo."
85,eventos meteorológicos,viento,"Siguen los vientos fuertes, hay evacuados y grandes destrozos - ECOS UY © 2020 | Ecos. Todos los derechos reservados."
86,eventos meteorológicos,viento,"Entre los fenómenos meteorológicos previstos se presentarán ""precipitaciones puntualmente abundantes (20-50 en 6 hs), rachas de viento del SW (60-75 km/h), intensa actividad eléctrica, ocasional caída de granizo."
87,eventos meteorológicos,viento,"Asimismo, se constataron daños severos en viviendas y dependencias municipales, árboles caídos y tendido eléctrico."
88,eventos meteorológicos,viento,"“Esta situación es como un viento muy fuerte pero desde la vertical a la superficie, no estamos acostumbrados a ver que el viento venga desde arriba, y cuando llega al piso es muy intenso”, dijo Renom."
89,eventos meteorológicos,viento,"El alcalde informó que las tar eas de r emoción de la ar ena comenzar on el domingo, cuando el viento comenzó a amainar, y culminar on el lunes."
90,eventos meteorológicos,viento,"Allí, se esper an lluvias, algunas intensas y formación de tormentas aisladas, con ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
91,eventos meteorológicos,viento,"""Cabe destacar que en zonas de tormentas se podr án r egistr ar lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes"", indicó el Inumet."
92,eventos meteorológicos,viento,"Podr án r egistr arse lluvias intensas en cortos períodos, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
93,eventos meteorológicos,viento,"Debido a una perturbación atmosférica asociada a masa de air e húmeda e inestable que afecta el país, pueden gener arse tormentas, algunas puntualmente fuertes. En zonas de tormentas se podr án r egistr ar lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
94,eventos meteorológicos,viento,"En zonas de tormentas se podr án r egistr ar caída de gr anizo, intensa actividad eléctrica y r achas de viento muy fuertes."
95,eventos meteorológicos,viento,"Se esper an tormentas puntualmente fuertes con lluvias intensas en cortos períodos de tiempo, caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
96,eventos meteorológicos,viento,"En las zonas de tormentas se podr án r egistr ar lluvias intensas en cortos periodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuerte."
97,eventos meteorológicos,viento,"Se esper an tormentas algunas puntualmente fuertes y lluvias intensas en cortos períodos de tiempo, con ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
98,eventos meteorológicos,viento,ESTE FUERTE VIENTO QUE SOPLA
99,eventos meteorológicos,viento,"Según informa el Instituto uruguayo de Meteor ología (Inumet), una masa de air e húmeda e inestable afecta el país, gener ando tormentas algunas puntualmente fuertes. El pr onóstico destaca que en zonas de tormentas se podr án r egistr ar lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
100,eventos meteorológicos,viento,"Centr o Coor dinador de Emer gencias Departamentales de Cerr o Lar go informó que 2 adultos y 6 menor es de edad que debier on ser e vacuados de sus casas pr oducto de las lluvias. Además, el viento pr o vocó daños en el techo de una vivienda."
101,eventos meteorológicos,viento,"Par a las zonas que están en advertencia por tormentas (que tiene vigencia hasta las 15:20 hor as), el aviso es que pueden r egistr arse lluvias intensas en cortos períodos de tiempo, caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
102,eventos meteorológicos,viento,"El Instituto de Meteor ología anunció que en la mañana del martes 1 de ener o, en el ár ea metr opolitana, habr á pr ecipitaciones y pr obables tormentas, con r achas de viento de hasta 40 kilómetr os por hor a. De noche tendr emos pr ecipitaciones aisladas, con una máxima de 32 gr ados y una mínima de 19 gr ados."
103,eventos meteorológicos,viento,"T ambién cuidar a los animales domésticos, dejarlos en lugar es pr otegidos, r eir ar del entorno (jar dines, balcones, etc.) objetos que puedan ser impulsados por el viento y tr ansformarse en pr o yectiles, cerr ar y asegur ar puertas y ventanas e xterior es. Evitar permanecer cer ca de ellas y si es necesario, r efugiarse en la habitación más pr otegida de la vivienda."
104,eventos meteorológicos,viento,"VIENTO, DILE A LA LLUVIA"
105,eventos meteorológicos,viento,"En el ár ea metr opolitana, el viernes estar á con cielo nuboso y cubierto con baja pr obabilidad de pr ecipitaciones y temper atur as entr e los 11 y los 19º. El sábado habr á cielo nuboso con pr ecipitaciones hacia la tar de y r achas de viento que podrían alcanzar los 50 kilómetr os por hor a. Así se mantendr á hasta el domingo, con temper atur as que van de los 12 a los 21º."
106,eventos meteorológicos,viento,? https://www .montevideo.com.uy/Noticias/Habra-lluvias-y-rachas-de-viento-fuerte-en-todo-el-pais-uc691307 1 / 13
107,eventos meteorológicos,viento,ESTE FUERTE VIENTO QUE SOPLARÁ
108,eventos meteorológicos,viento,"Según el Inumet, el fenómeno del fin de semana incluir á ""intensa actividad eléctrica"", además de gr anizo, r achas de viento fuertes y lluvias intensas en cortos períodos de tiempo."
109,eventos meteorológicos,viento,"El or ganismo indica que ""en zonas de tormentas se podr án r egistr ar lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes""."
110,eventos meteorológicos,viento,"""En zonas de tormentas se podr án r egistr ar lluvias intensas en cortos períodos de tiempo, caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes"", señala la advertencia, que rige hasta las 22:00 hor as."
111,eventos meteorológicos,viento,"En las zonas incluidas en las advertencias, ""se podr án r egistr ar lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes""."
112,eventos meteorológicos,viento,"En zonas de tormentas se podr án r egistr ar caída de gr anizo, intensa actividad eléctrica y r achas de viento muy fuertes."
113,eventos meteorológicos,viento,"En las zonas afectadas se pueden r egistr ar lluvias intensas en cortos periodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
114,eventos meteorológicos,viento,"Desde la noche de este domingo, el viento r otar á al sur e incr ementar á su intensidad, además de favor ecer un descenso de la temper atur a en todo el país."
115,eventos meteorológicos,viento,"Se esper an lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
116,eventos meteorológicos,viento,"Además, dur ante la madrugada del jue ves, se intensificar án los vientos en la fr anja coster a del sur del país, con car acterísticas de viento arr achado."
117,eventos meteorológicos,viento,"Se esper an tormentas algunas puntualmente fuertes con luvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
118,eventos meteorológicos,viento,EL VIENTO QUE TODO EMPUJA
119,eventos meteorológicos,viento,"El instituto nacional de Meteor ología emitió una advertencia amarilla par a el norte del país por tormentas fuertes y lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
120,eventos meteorológicos,viento,"Se esper an tormentas, lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes. La advertencia rige hasta las 12. El pr onóstico par a el fin de semana."
121,eventos meteorológicos,viento,"El Instituto Nacional de Meteor ología pr e vé que tormentas puntualmente fuertes con lluvias intensas, posible caída de gr anizo y actividad eléctrica con r achas de viento fuertes."
122,eventos meteorológicos,viento,"El Instituto Nacional de Meteor ología emitió una advertencia nar anja par a 6 departamentos del norte del país, por lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
123,eventos meteorológicos,viento,"El Instituto Nacional de Meteor ología emitió una advertencia nar anja por tormentas, algunas puntualmente fuertes con lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
124,eventos meteorológicos,viento,"Se esper an tormentas con lluvias intensas en cortos períodos de tiempo, caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
125,eventos meteorológicos,viento,"Metsul pr e vé tormentas fuertes con r acha de viento con importante potencial de daño, que llegar án a nuestr o país en la tar de de este viernes y se mantendr án hasta el domingo. Inumet r ecomienda a la población estar informada sobr e los pr onósticos meteor ológicos."
126,eventos meteorológicos,viento,CANCIONES AL VIENTO
127,eventos meteorológicos,viento,"El miér coles 7 la componente pr edominante del viento es del sur con intensidad entr e 20 a 35 km/h, y valor es superior es en la r egión coster a. Dur ante el jue ves 8 de no viembr e los vientos r otar án al nor este con intensidades entr e 10 a 20 km/h, afirmándose del norte el viernes 9 y hasta el sábado 10 de no viembr e."
128,eventos meteorológicos,viento,ESTE FUERTE VIENTO QUE SOPLA https://www .montevideo.com.uy/Noticias/Persiste-advertencia-meteorologica-por-vientos-fuertes-y-persistentes-para-el-sur-del-rio-Negro-uc689 … 2 / 1 1
129,eventos meteorológicos,viento,"Las mascotas deben permanecer en lugar es pr otegidos y se r ecomienda r etir ar de balcones o jar dines ""objetos que puedan ser impulsados por el viento y tr ansformarse en pr o yectiles""."
130,eventos meteorológicos,viento,"Los departamentos de Cerr o Lar go, Paysandú, River a, Salto y T acuar embó se ven afectados por esta alerta que pr e vé gr anizo y r achas de viento fuerte."
131,eventos meteorológicos,viento,"Accuweather también pr e vé un descenso de temper atur a a partir del miér coles de noche, pasando de una máxima de 22 gr ados a una de 14 el jue ves. The W eather Channel señala que entr e jue ves y sábado habr á chubascos, viento y lluvias, con una máxima de 11 gr ados par a el viernes, por ejemplo. Recién el viernes volveríamos a tener sol pleno."
132,eventos meteorológicos,viento,"Recibilas diariamente en tu email https://www .montevideo.com.uy/Noticias/Se-esperan-lluvias-para-la-noche-del-sabado-y-la-manana-del-domingo-con-descenso-de-temperatura … 2 / 1 1 esper an pr ecipitaciones aisladas, con r achas de viento que podrían alcanzar los 60 kilómetr os por hor a. La temper atur a bajar á a entr e 7 y 9° el domingo y no dejar á de llo ver hasta la tar de."
