,CATEGORIA,CODIGO,TEXTO
38,eventos meteorológicos,tormenta,?MÁS CALOR Y TORMENTAS EN LOS PRÓXIMOS DÍAS
39,eventos meteorológicos,tormenta,?SE ANUNCIAN LLUVIAS Y TORMENTAS
40,eventos meteorológicos,tormenta,?SE ANUNCIAN LLUVIAS Y TORMENTAS
41,eventos meteorológicos,tormenta,"SE ANUNCIAN LLUVIAS Y TORMENTAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
42,eventos meteorológicos,tormenta,"SE ANUNCIAN LLUVIAS Y TORMENTAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
43,eventos meteorológicos,tormenta,?SE ANUNCIAN TORMENTAS Y PRECIPITACIONES
44,eventos meteorológicos,tormenta,?TORMENTAS PARA EL FIN DE SEMANA
45,eventos meteorológicos,tormenta,?Tormentas para hoy
46,eventos meteorológicos,tormenta,?TORMENTAS Y PRECIPITACIONES PARA HOY
47,eventos meteorológicos,tormenta,?Advierten sobre tormentas intensas
48,eventos meteorológicos,tormenta,?Pronostican tormentas para la semana
49,eventos meteorológicos,tormenta,?Tormentas fuertes en el sureste
50,eventos meteorológicos,tormenta,?Tormentas intensas hasta el domingo
51,eventos meteorológicos,tormenta,?Evacuados por tormenta
52,eventos meteorológicos,tormenta,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 4
53,eventos meteorológicos,tormenta,"AdemÃ¡s, se anunciÃ³ descenso de temperatura en la zona sur, con cielo nuboso y cubierto con precipitaciones dispersas y algunas tormentas en frontera noreste principalmente."
54,eventos meteorológicos,tormenta,"?Pronostican ""probabilidad de tormentas aisladas"""
55,eventos meteorológicos,tormenta,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
56,eventos meteorológicos,tormenta,?Siguen las tormentas
57,eventos meteorológicos,tormenta,"?Advertencia sobre ""tormentas fuertes"""
58,eventos meteorológicos,tormenta,?Consecuencias de la fuerte tormenta en
59,eventos meteorológicos,tormenta,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes
60,eventos meteorológicos,tormenta,?Fin de semana con precipitaciones y tormentas
61,eventos meteorológicos,tormenta,?Meteorología: fin de semana con lluvias y tormentas
62,eventos meteorológicos,tormenta,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes
63,eventos meteorológicos,tormenta,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes
64,eventos meteorológicos,tormenta,?Lluvias y tormentas aisladas para miércoles y jueves
65,eventos meteorológicos,tormenta,?Lluvias y tormentas aisladas para miércoles y jueves
66,eventos meteorológicos,tormenta,?Meteorología pronostica lluvias y tormentas para el martes
67,eventos meteorológicos,tormenta,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes
