,Category,Code,Case,Text,Coder,Date,Words,% Words,Comment,Variable
10,respuestas,ayuda damnificados, INUNDACIONES EN TODO EL PAÍS_21_05_03,"El miedo surge en la medida de que las lluvias no parecen parar, la ropa seca y los alimentos se hacen necesarios para los evacuados que han perdido todas sus pertenencias. El Sistema Nacional de Emergencia se encuentra tr a b a j a n d o  s i n parar para poder solucionar la situació n  d e  c a d a  z o n a  a f e c tada.",Admin,6/9/2020,72,"3,60%",,DOCUMENT
11,Actores,Ejército, INUNDACIONES EN TODO EL PAÍS_21_05_03,"El miedo surge en la medida de que las lluvias no parecen parar, la ropa seca y los alimentos se hacen necesarios para los evacuados que han perdido todas sus pertenencias. El Sistema Nacional de Emergencia se encuentra tr a b a j a n d o  s i n parar para poder solucionar la situació n  d e  c a d a  z o n a  a f e c tada.",Admin,6/9/2020,72,"3,60%",,DOCUMENT
12,efectos,inundación, INUNDACIONES EN TODO EL PAÍS_21_05_03,"El miedo surge en la medida de que las lluvias no parecen parar, la ropa seca y los alimentos se hacen necesarios para los evacuados que han perdido todas sus pertenencias. El Sistema Nacional de Emergencia se encuentra tr a b a j a n d o  s i n parar para poder solucionar la situació n  d e  c a d a  z o n a  a f e c tada.",Admin,6/9/2020,72,"3,60%",,DOCUMENT
13,eventos meteorológicos,lluvia, INUNDACIONES EN TODO EL PAÍS_21_05_03,"El miedo surge en la medida de que las lluvias no parecen parar, la ropa seca y los alimentos se hacen necesarios para los evacuados que han perdido todas sus pertenencias. El Sistema Nacional de Emergencia se encuentra tr a b a j a n d o  s i n parar para poder solucionar la situació n  d e  c a d a  z o n a  a f e c tada.",Admin,6/9/2020,72,"3,60%",,DOCUMENT
14,efectos,evacuados, INUNDACIONES,? https://www .montevideo.com.uy/Noticias/INUNDACIONES-uc3638 1 / 1,Admin,6/9/2020,10,"1,50%",,DOCUMENT
15,efectos,inundación, INUNDACIONES,? https://www .montevideo.com.uy/Noticias/INUNDACIONES-uc3638 1 / 1,Admin,6/9/2020,10,"1,50%",,DOCUMENT
16,eventos meteorológicos,viento, LA TORMENTA DE AYER PROVOCÓ DAÑOS Y APAGONES EN TODO EL SUR DEL PAÍS,"La tormenta que con diferentes niveles de intensidad afectó  a  t o d o  e l  s u r  d e l  p a ís provocó  u n  c o r t o c i r c u i t o  e n  d o s  l íneas de alta  t e n s i ón de 500 kw que transmiten energí a  d e s d e  l a  r e p r e s a  d e  P a l m a r ,  a  r a íz de la caí d a  d e  u n  r a y o ,  l o  q u e  p r o v o c ó un apagó n  d e  t o d o  e l  s u r  d e l  p a ís, afecta n d o  a  5 0 0  m i l  h o g a r e s  e n  l o s departamentos de Colonia, San José ,  C a n e l o n e s ,  Montevideo, Ma l d o n a d o  y  R o c h a",Admin,6/9/2020,186,"7,60%",,DOCUMENT
17,efectos,voladura de techos, LA TORMENTA DE AYER PROVOCÓ DAÑOS Y APAGONES EN TODO EL SUR DEL PAÍS,"La tormenta que con diferentes niveles de intensidad afectó  a  t o d o  e l  s u r  d e l  p a ís provocó  u n  c o r t o c i r c u i t o  e n  d o s  l íneas de alta  t e n s i ón de 500 kw que transmiten energí a  d e s d e  l a  r e p r e s a  d e  P a l m a r ,  a  r a íz de la caí d a  d e  u n  r a y o ,  l o  q u e  p r o v o c ó un apagó n  d e  t o d o  e l  s u r  d e l  p a ís, afecta n d o  a  5 0 0  m i l  h o g a r e s  e n  l o s departamentos de Colonia, San José ,  C a n e l o n e s ,  Montevideo, Ma l d o n a d o  y  R o c h a .",Admin,6/9/2020,186,"7,60%",,DOCUMENT
18,efectos,árboles caídos, LA TORMENTA DE AYER PROVOCÓ DAÑOS Y APAGONES EN TODO EL SUR DEL PAÍS,"La tormenta que con diferentes niveles de intensidad afectó  a  t o d o  e l  s u r  d e l  p a ís provocó  u n  c o r t o c i r c u i t o  e n  d o s  l íneas de alta  t e n s i ón de 500 kw que transmiten energí a  d e s d e  l a  r e p r e s a  d e  P a l m a r ,  a  r a íz de la caí d a  d e  u n  r a y o ,  l o  q u e  p r o v o c ó un apagó n  d e  t o d o  e l  s u r  d e l  p a ís, afecta n d o  a  5 0 0  m i l  h o g a r e s  e n  l o s departamentos de Colonia, San José ,  C a n e l o n e s ,  Montevideo, Ma l d o n a d o  y  R o c h a .",Admin,6/9/2020,186,"7,60%",,DOCUMENT
19,eventos meteorológicos,tormenta, LA TORMENTA DE AYER PROVOCÓ DAÑOS Y APAGONES EN TODO EL SUR DEL PAÍS,"La tormenta que con diferentes niveles de intensidad afectó  a  t o d o  e l  s u r  d e l  p a ís provocó  u n  c o r t o c i r c u i t o  e n  d o s  l íneas de alta  t e n s i ón de 500 kw que transmiten energí a  d e s d e  l a  r e p r e s a  d e  P a l m a r ,  a  r a íz de la caí d a  d e  u n  r a y o ,  l o  q u e  p r o v o c ó un apagó n  d e  t o d o  e l  s u r  d e l  p a ís, afecta n d o  a  5 0 0  m i l  h o g a r e s  e n  l o s departamentos de Colonia, San José ,  C a n e l o n e s ,  Montevideo, Ma l d o n a d o  y  R o c h a .",Admin,6/9/2020,186,"7,60%",,DOCUMENT
20,Actores,Intendencia," SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS POR LAS LLUVIAS, EN TODO EL PAÍS_22_05_03","SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS  P OR LAS LLUVIAS, EN TOD O EL PAÍ S",Admin,6/9/2020,17,"1,30%",,DOCUMENT
21,efectos,rutas cortadas," SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS POR LAS LLUVIAS, EN TODO EL PAÍS_22_05_03","SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS  P OR LAS LLUVIAS, EN TOD O EL PAÍ S",Admin,6/9/2020,17,"1,30%",,DOCUMENT
22,efectos,evacuados," SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS POR LAS LLUVIAS, EN TODO EL PAÍS_22_05_03","SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS  P OR LAS LLUVIAS, EN TOD O EL PAÍ S",Admin,6/9/2020,17,"1,30%",,DOCUMENT
