,CATEGORIA,TEXTO
18,viento,"l principal riesgo lo signi?can los fuertes vientos, que se calcula superará n los 80 km/h en esta noche. Los dañ o s  c a u s a d o s  f u e r o n  p r i n c i p a l m e n t e importantes en Paysandú ,  d o n d e  y a  s e  r e g i s t r a n  2 7  c a s o s  d e  e v a c u a c i ón debido a que el sistema de desagü e  d e  l a s  c a s a s  n o  s o p o r t ó las aguas caí d a s .  E l mismo problema se registra en Salto, y fue el personal policial quien tu v o  q u e encargarse de los problemas."
19,tormenta,"En las ú l t i m a s  h o r a s  e l  c l i m a  s e  p r e s e n t ó fresco con cielo cubierto. Las precipitaciones fueron abundantes y persisten las tormentas. Las temperaturas fueron desde los 13º  a  l o s  1 7 º. La situació n  s i n óptica, presenta una fuerte depresió n  a t m o s f érica que continú a  a f e c tando al paí s .  P a r a  l a s  p r óximas horas se prevé  u n  d e s c e n s o  d e  t e m p e r a t u r a ."
20,ola de frío,Persistirá n  vientos del Oeste al Sudoeste arrachados entr e  5 0  y  7 0  k m / h .  e n  z o n a s
21,viento,Persistirá n  vientos del Oeste al Sudoeste arrachados entr e  5 0  y  7 0  k m / h .  e n  z o n a s
22,lluvia,Esta semana el tiempo se pr esentar á cálido con temper atur as máximas que super ar án los 25ºC per o que no alcanzar án los 30ºC. El cielo se pr esentar á soleado y par cialmente nublado. No se r egistr ar án lluvias dur ante la semana.
23,tormenta,Inumet advierte por ingr eso de fr ente frío y tormentas entr e miér coles y jue ves 3
24,lluvia,"El tiempo esta semana se pr esentar a cálido con temper atur as máximas con r ondar án los 30ºC par a sur y norte del país. Las mínimas super ar án los 17ºC. La nubosidad ser á variable, al igual que el r égimen de pr ecipitaciones esper ado par a el país. En el norte, las lluvias comenzar án el día miér coles y continuar án hasta el viernes, mientr as que en el sur las lluvias llegar án el día jue ves. El sábado mejor ar á par cialmente. El total de pr ecipitaciones par a esta semana oscilar á entr e 20 mm y 35 mm en el sur y entr e"
25,tormenta,Inumet advierte por ingr eso de fr ente frío y tormentas entr e miér coles y jue ves 3
26,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   Las temper atur as máximas pr omedio par a la semana ser án de 17,6 ºC, mientr as que las mínimas oscilar án en el eje de los 5,4 ºC, no descartándose la posibilidad de e ventuales heladas en algunas zonas del país. Las lluvias comenzar án el día miér coles en el sur del país per o ser án de escasa magnitud. Las mismas arribar án el días jue ves al centr o del territorio y el viernes cubrir án el norte. Se esper an r egistr os importantes del or den de los 35 mm y de hasta 45 mm en algunas r egiones."
27,lluvia,Se aguar dan lluvias de entidad par a el día sábado que super ar án en algunas zonas los 25 mm. Cubrir án todo el país y se esper a que los mayor es r egistr en se den nue vamente en el litor al oeste.
28,lluvia,Negr o. Los cielos se pr esentar án soleados y par cialmente nublados. No se pr onostican lluvias en todo el territorio nacional par a esta semana ni tampoco hasta mediados de la sigueinte.
29,lluvia,"El tiempo esta semana se pr esentar á más templado que la semana anterior con temper atur as que no super ar án los 28ºC. El cielo se pr esentar á par cialmente nublado dur ante toda la semana, per o no se r egistr ar án pr ecipitaciones de inter és agr onómico, apenas chaparr ones coster os. En primer a instancia tampoco se r egistarían lluvias significativas la semana pr ó xima."
30,lluvia,T el: 4001684 - 4028056 / Monte video - Uruguay   No se r egistr ar án pr ecipitaciones de inter és agr onómico esta semana. Se esper an importantes lluvias  entr e 35 mm y 45 mm  par a la pr ó xima semana en todo el territorio uruguayo.
31,lluvia,"El tiempo esta semana ser á templado , con temper atur as que aumentar án conforme la semana avance. Las máximas ser án de 22 ºC par a el sur y 25 °C par a el norte. Las lluvias ingr esar án al territorio nacional por el norte el día jue ves y se desplazar án hacia el sur abar cando la totalidad de la superficie el día viernes. Los r egistr os acumulados ser án de entr e 10 mm y 25 mm."
32,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   El cielo se pr esentar á par cialmente nublado. Los diversas agencia meteor ológicas encuentr an discr epancias en cuanto al r égimen pluviométrico de esta semana. A pesar de ello, se pueden esper ar lluvias aisladas en el nor oeste del país en estas hor as, aunque las mismas no super ar án los 10 mm. Los pr onósticos a 10 días también muestr an ausencias de lluvias, situación que empie za a pr eocupar en diversos sector es del agr o uruguayo."
33,lluvia,El tiempo esta semana se pr esentar á templado con temper atur as máximas que no super ar án los 30ºC. Se esper an lluvias en todo el territorio par a el día miér coles las cuales oscilar án entr e 20 mm y 25 mm al sur y norte del país r espectivamente.
34,lluvia,"El tiempo esta semana se pr esentar á templado en el sur con máximos que no alcanzar án los 30ºC y cálido en el norte, donde las máximas temper atur as oscilar án entr e 30ºC y 31ºC. En cuanto a la nubosidad, la misma ser á variable, cubriendo par cialmente el cielo en pr ácticamente todo el territorio. Se r egistr ar án pr ecipitaciones a partir del día miér coles en el litor al oeste. Las mismas llegar án al este el día viernes. El pr omedio de lluvias ser á de 30 mm."
35,lluvia,"El tiempo en lo que r esta de esta semana se pr esentar á cálido en todo el territorio. Se esper a que las lluvias que se r egistr ar án dur ante el fin de semana en Ar gentina arriben a Uruguay par a comienzos de la semana pr ó xima. Las mismas abar car án la zona oeste del país. Par a comienzos de la semana entr ante, las pr ecipitaciones cubrir án a todo el país. Las mismas ser án del or den de los 30 mm."
36,lluvia,"Esta semana el tiempo se pr esentar á frío, con temper atur as máximas cer canas a los 20 ºC. Éstas descender án hacia finales de la semana con mínimas que llegar án a los 6 ºC. Se esper an lluvias importantes par a el este y el nor este del país par a el día viernes, que ser án del or den de los 20 mm a 25 mm."
37,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   El cielo se pr esentar á soleado y par cialmente nublado. No se pr onostican lluvias de inter és agr onómico en todo el país lo que a esta altur a, sobr e todo debido a las ele vadas temper atur as acaecidas dur ante la semana anterior, comienza a pr eocupar a los agricultor es de todo el país. A partir del domingo se esper an algunas lluvias de entidad en el litor al oeste que r ondar án entr e 10 mm y 20 mm."
38,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   El miér coles habr á lluvias importantes en Ar gentina, per o que en su mayoría se disipan antes de ingr esar a Uruguay. Las mayor es posibilidades de pr ecipitaciones son en el norte del país, entr e jue ves y viernes. Los días ser án, como hasta ahor a, mayormente soleados y con ele vadas temper atur as par a la época, aunque el miér coles estar á mayormente nublado."
39,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   Las máximas y mínimas pr omedio par a el sur del país ser án de 14 ºC y 8 ºC r espectivamente, mientr as que en el norte los r egistr os térmicos par a ambas puntas ser án de 16 ºC y de 6ºC. Se esper an importante lluvias en todo el país, que ingr esar án por el norte el día jue ves, gener alizándose a todo el país par a el viernes, mientr as que dur ante la jornada del día sábado las pr ecipitaciones se desplazar án hacia la r egión este del país. El pr omedio de lluvias ser á de 25 mm par a todo el territorio, aunque el nor este r egistr ar á mayor es tenor es de agua que super ar án los 45 mm."
40,lluvia,El tiempo esta semana se pr esentar á templado con temper atur as máximas que no super ar án los 25ºC y mínimasd que pueden situarse por debajo de los 10ºC. La nubosidad se pr esentar á variable dur ante la semana. Esta semana no se r egistr ar án lluvias de entidad en el terrir orio nacional. Se esper an pr ecipitaciones de inter és agr onómico r ecién la par a la semana entr ante.
41,lluvia,"Esta semana el tiempo se pr esentar á cálido en el sur y norte del país con nubosidades variables. Las máximas temper atur as al sur de Río Negr o oscilar án entr e 28ºC y 31ºC, mientr as que en el norte r ondar án los 32ºC. No se pr e vén pr ecipitaciones de entidad dur ante esta semana e x ceptuando algunos chaparr ones en el centr o del país el día sábado que no super ar án los 11 mm. Se esper an lluvias de mayor entidad par a la semana pr ó xima."
42,tormenta,"El pronó s t i c o  p a r a  h o y  r e ? e r e  a  u n  c i e l o  n u b o s o  y  c u b i e r t o  c o n  f o r m a c i ón de tormentas y precipitaciones moderadas y abundantes, mejorando desde el suroeste hacia el ?nal del dí a  c o n  d e s c e n s o  d e  t e m p e r a t u r a"
43,lluvia,"Para la jornada de hoy se esperan lluvias con volú m e n e s  p u n t u a l e s  e n t r e  8 0  y  1 0 0 mm., así  c o m o  l a  f o r m a c i ón de tormentas dispersas con algunas rachas ocasionalmente muy fuertes (50 - 65 km/h)."
44,lluvia,"La nubosidad ser á variable dur ante la semana, aumentando desde el miér coles. Cabe la posibilidad de escasas pr ecipitaciones entr e miér coles y jue ves al sur del país per o no todos los pr onósticos afirman la ocurr encia de lluvias. Éstas se aguar dan r ecién par a la semana pr ó xima en todo el país, siendo más importantes par a el sudoeste del territorio."
45,lluvia,"La nubosidad ser á variable dur ante la semana, disminuyendo hacia fines de la semana en el sur, mientr as que par a el norte, se esper an cielos cubiertos par a el viernes. Se esper an pr ecipitaciones de entidad hacia el fin de semana y también en la pr ó xima, aunque los pr onósticos mantienen difer encias. Las lluvias cubrir án todo el territorio y oscilar án entr e 20 mm y 30 mm. Al igual que la semana r ecién finalizada, los r egistr os pluviométricos ser án más importantes en el sudoeste del país."
46,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   En este sentido, se esper an par a el martes y miér coles lluvias de entidad (hasta 50 mm) par a toda la r egión sur y centr o de Uruguay, mejor ando par a fines de la semana aunque con descensos mar cados de la temper atur a."
47,lluvia,Continuar án las lluvias esta semana en todo el país. Estás comenzar án el miér coles y tendr án mayor intensidad en la r egión centr o norte y centr o sur. Los r egistr os par a este día pueden alcanzar los 30 mm a 25 mm. El jue ves las mismas se gener alizar án y tendr án mayor magnitud en la r egión sudoeste y oeste del país. Los r egistr os pueden alcanzar los 30 mm.
48,lluvia,"El tiempo esta semana seguir á frío y se pr e vén heladas par a algunas r egiones del país. El sur pr esentar á mínimas que oscilar án entr e 4 ºC y 6 ºC, mientr as que el norte tendr á r egistr os mínimos entr e 3 ºC y 7 ºC. Los pr onósticos de pr ecipitaciones son variables par a esta semana. Igualmente, no se esper an lluvias de entidad agr onómica."
49,lluvia,Las ansiadas lluvias estarían llegando mañana martes y cubrirían todo el país. Los r egistr os oscilar án entr e 35 mm y 50 mm. Las pr ecipitaciones ser án más intensas en el Centr o del país.
50,lluvia,"Las lluvias vuelven al centr o y sur del país mañanna martes y no super ar án los 20 mm, per o no se descartan pequeños r egistr os en el r esto del territorio uruguayo. T r as despejar el miér coles, las lluvias volverían el martes de la semana pr ó xima.  Los r egistr os térmicos pr omedio par a todo el país que oscilar án entr e 15 ºC y 20 ºC."
51,lluvia,"Se pr e vén lluvias muy importante en todo el país, per o especialmente en la r egión Norte del mismo en donde los r egistr os pueden ser de hasta 150 mm."
52,lluvia,"V uelven las lluvias al país, per o ser án br e ves. Éstas entr ar án al país por el Oeste, mañana martes de noche. Las mismas ser án de entidad y alcanzar án los 50 mm en algunas zonas del litor al sur. Par a el fin de semana se esper an cielos despejados. Par a la semana pr ó xima no se pr onostican lluvias.  Los r egistr os térmicos ser án más cálidos esta semana tomando en consider ación la anterior. En pr omedio par a todo el país los r egistr os térmicos oscilar án entr e 20 ºC y 25ºC."
53,lluvia,Se pr e vén lluvias al sur del territorio dur ante el tr anscurso de la semana. Las mismas oscilar án entr e 10 y 20 mm y ser án de menor entidad en el centr o del país.
54,lluvia,"Par a la semana entr ante tampoco se estarían r egistr ando lluvias, en tanto que las temper atur as ser án un poco mayor es en todo el país y oscilar án entr e 15 ºC y 20 ºC."
55,lluvia,"Los r egistr os pluviométrticos de esta semana ingr esar án por el sudoeste el día sábado, e xtendiéndose al centr o del país en el corr er del día. Las lluvias no serían muy abundantes."
56,lluvia,"Ex cepción hecha de algunos chaparr ones que se esper an par a la noche del viernes y que no cubrir án todo el país, las lluvias no arribarían a Uruguay hasta la semana pr ó xima, en la que se esper an pr ecipitaciones que oscilar án entr e los 35 y 50 mm. Las temper atur as pr omedio esta semana oscilar án entr e 15 ºC y 20 ºC. La semana pr ó xima, las mismas ser án un poco inferior es y variar án entr e 10 ºC Y 20 ºC."
57,lluvia,"Esta semana volver án a caer lluvias de entidad. Las mismas entr ar án el martes de noche por el litor al oeste y cubrir án todo el territorio hasta el jue ves inclusive, aunque el viernes pueden r egistr arse algunas pr ecipitaciones aisladas. Se pueden esper ar r egistr os arriba de 50 mm en varias localidades del país. Las lluvias continuar án la semana pr ó xima y según los informes climáticos también ser án de entidad. El miér coles se esper a un tempor al con vientos fuertes del sur y sur este."
58,lluvia,"Esta semana continuar án las lluvias en todo el territorio, a pesar de que las mismas ser án de menor entidad que la semana anterior."
59,lluvia,V uelven las lluvias al país luego de dos semanas sin r egistr os de importancia.
60,lluvia,"No están pr e vistas lluvias hasta el pr ó ximo fin de semana en todo el territorio uruguayo, en tanto que las temper atur as ir án gr adualmente en ascenso luego de los intensos fríos del fin de semana."
61,lluvia,"Las lluvias, que comenzar on el domingo de tar de, continuar án desplazándose hacia el centr o y oeste del territorio e ir án cobr ando mayor intensidad. Se esper an r egistr os par a mañana martes del or den de los 20 mm."
