,CATEGORIA,TEXTO
149,tormenta,?ANUNCIAN INUNDACIONES POR TORMENTAS
150,tormenta,?ANUNCIO DE TORMENTAS SEVERAS
151,ola de frío,?CONTINÚAN LAS LLUVIAS Y EL FRÍO
152,lluvia,?CONTINÚAN LAS LLUVIAS Y EL FRÍO
153,ola de calor,?DEL CALOR A LAS LLUVIAS
154,lluvia,?DEL CALOR A LAS LLUVIAS
155,lluvia,"DEL CALOR A LAS LLUVIAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
156,ola de calor,"DEL CALOR A LAS LLUVIAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
157,ola de calor,?MÁS CALOR Y TORMENTAS EN LOS PRÓXIMOS DÍAS
158,tormenta,?MÁS CALOR Y TORMENTAS EN LOS PRÓXIMOS DÍAS
159,ola de frío,MÁS LLUVIAS Y DESCENSO DE TEMPERATURA
160,lluvia,MÁS LLUVIAS Y DESCENSO DE TEMPERATURA
161,ola de calor,?OLA DE CALOR HASTA EL 10 DE ENERO
162,lluvia,?PRONOSTICAN LLUVIAS Y FRÍO
163,ola de frío,?PRONOSTICAN LLUVIAS Y FRÍO
164,ola de calor,?Recomendaciones ante la ola de calor
165,tormenta,?SE ANUNCIAN LLUVIAS Y TORMENTAS
166,lluvia,?SE ANUNCIAN LLUVIAS Y TORMENTAS
167,tormenta,?SE ANUNCIAN LLUVIAS Y TORMENTAS
168,lluvia,?SE ANUNCIAN LLUVIAS Y TORMENTAS
169,lluvia,"SE ANUNCIAN LLUVIAS Y TORMENTAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
170,tormenta,"SE ANUNCIAN LLUVIAS Y TORMENTAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
171,lluvia,"SE ANUNCIAN LLUVIAS Y TORMENTAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
172,tormenta,"SE ANUNCIAN LLUVIAS Y TORMENTAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
173,tormenta,?SE ANUNCIAN TORMENTAS Y PRECIPITACIONES
174,lluvia,?SE ANUNCIAN TORMENTAS Y PRECIPITACIONES
175,lluvia,?SEGUIRÁN LAS LLUVIAS
176,lluvia,"SEGUIRÁN LAS LLUVIAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
177,tormenta,?TORMENTAS PARA EL FIN DE SEMANA
178,tormenta,?Tormentas para hoy
179,lluvia,?TORMENTAS Y PRECIPITACIONES PARA HOY
180,tormenta,?TORMENTAS Y PRECIPITACIONES PARA HOY
181,lluvia,"TORMENTAS Y PRECIPITACIONES PARA HOY 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
182,ola de frío,?Advertencia de lluvias y frío para el 27 y 28 de agosto
183,lluvia,?Advertencia de lluvias y frío para el 27 y 28 de agosto
184,tormenta,?Advierten sobre tormentas intensas
185,lluvia,?Calor y probables lluvias
186,ola de calor,?Calor y probables lluvias
187,lluvia,?DESTROZOS POR TEMPORAL Y ALERTA
188,viento,?DESTROZOS POR TEMPORAL Y ALERTA
189,tormenta,?Pronostican tormentas para la semana
190,ola de frío,?Pronóstico con frío y lluvias
191,lluvia,?Pronóstico con frío y lluvias
192,tormenta,?Tormentas fuertes en el sureste
193,lluvia,?Comité Nacional de Emergencia teme por inundaciones
194,ola de calor,?Dos muertos por calor
195,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
196,lluvia,?Están cortadas las rutas 61 y 6
197,lluvia,Lluvias
198,lluvia,?Evacuados en Lavalleja
199,tormenta,?Tormentas intensas hasta el domingo
200,lluvia,? 500 evacuados en todo el país
201,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 500 evacuados en todo el país
202,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 preocupación por el asalto y asesinato de tres marinos en el
203,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
204,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país
205,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
206,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 ¿Qué dijo el ministro de Salud Pública ante las aglomeraciones en 18 de Julio?
207,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 ¿Qué dijo el ministro de Salud Pública ante las aglomeraciones en 18 de Julio?
208,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 preocupación por el asalto y asesinato de tres marinos en el
209,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 preocupación por el asalto y asesinato de tres marinos en e
210,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
211,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
212,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
213,lluvia,?Evacuados por inundaciones
214,lluvia,?Evacuados por inundacione
215,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país
216,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país
217,tormenta,?Evacuados por tormenta
218,lluvia,?Evacuados por tormenta
219,tormenta,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 4
220,lluvia,?Hay 1000 evacuados más en 9 horas
221,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país
222,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
223,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
224,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
225,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
226,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
227,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
228,viento,LLUVIAS Y VIENTOS
229,lluvia,LLUVIAS Y VIENTOS
230,ola de frío,"AdemÃ¡s, se anunciÃ³ descenso de temperatura en la zona sur, con cielo nuboso y cubierto con precipitaciones dispersas y algunas tormentas en frontera noreste principalmente."
231,tormenta,"AdemÃ¡s, se anunciÃ³ descenso de temperatura en la zona sur, con cielo nuboso y cubierto con precipitaciones dispersas y algunas tormentas en frontera noreste principalmente."
232,ola de frío,"El martes estarÃ¡ muy frÃo a fresco con cielo algo nuboso, perÃodos de claro y heladas agrometeorolÃ³gicas. Este dÃa hay que tener especial cuidado con el frÃo, ya que se prevÃ© una mÃnima de 5 grados con sensaciones tÃ©rmicas que pueden ser menores, ya que los vientos serÃ¡n moderados y algo fuertes."
233,ola de frío,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 4
234,lluvia,?Nuevos evacuados en Paysand
235,lluvia,?Paysandú: 30 familias aisladas por inundación
236,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
237,lluvia,?Paysandú: 3500 evacuados por inundaciones
238,lluvia,?Paysandú: 3500 evacuados por inundaciones
239,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
240,lluvia,?Podrían llegar a 5000 evacuados en Artigas
241,lluvia,Paysandú: 30 familias aisladas por inundación
242,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
243,tormenta,"?Pronostican ""probabilidad de tormentas aisladas"""
244,tormenta,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
245,lluvia,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 4
246,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 4
247,viento,Turbonada del domingo
248,viento,Turbonada del domingo
249,tormenta,?Siguen las tormentas
250,lluvia,?Sin lluvias el sábado y probable precipitaciones el domingo
251,tormenta,"?Advertencia sobre ""tormentas fuertes"""
252,tormenta,?Consecuencias de la fuerte tormenta en
253,lluvia,?Durazno y Soriano comprometidos por inundaciones
254,lluvia,?Evacuados por rápida crecida del Santa Lucí
255,tormenta,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes
256,lluvia,?Fin de semana con precipitaciones y tormentas
257,tormenta,?Fin de semana con precipitaciones y tormentas
258,lluvia,?Hay 5617 evacuados en todo el país
259,lluvia,?Hay 7351 evacuados
260,lluvia,?Hay casi 4000 evacuados en todo el paí
261,lluvia,?Intendencias alerta por lluvias
262,lluvia,?Lluvias complican panorama en el litoral
263,lluvia,?Lluvias intensan en el país
264,lluvia,?Meteorología: fin de semana con lluvias y tormentas
265,tormenta,?Meteorología: fin de semana con lluvias y tormentas
266,lluvia,?Meteorología: fin de semana con lluvias y tormentas
267,lluvia,?Soriano en alerta por inundaciones
268,lluvia,?Tendremos lluvias hasta el martes
269,tormenta,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes
270,viento,?Cayó una columna en el Centro por el viento
271,viento,?El viento dejó 40 árboles caídos en Montevideo
272,viento,?El viento dejó 40 árboles caídos en Montevideo
273,tormenta,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes
274,lluvia,?Fin de semana con lluvias
275,lluvia,?Lluvias abundantes en Montevideo
276,tormenta,?Lluvias y tormentas aisladas para miércoles y jueves
277,tormenta,?Lluvias y tormentas aisladas para miércoles y jueves
278,lluvia,?Lluvias y tormentas aisladas para miércoles y jueves
279,viento,por vientos fuertes
280,lluvia,?Meteorología pronostica lluvias y tormentas para el martes
281,tormenta,?Meteorología pronostica lluvias y tormentas para el martes
282,tormenta,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes
283,tormenta,"?Meteorología: ""tormentas intensas"""
284,lluvia,?Meteorología: fin de semana con lluvias
285,ola de frío,?Meteorología: frío y lluvias para el fin de semana
286,lluvia,?Meteorología: frío y lluvias para el fin de semana
287,lluvia,?Meteorología: pronostica lluvias entre lunes y miércoles
288,tormenta,?Meteorología: tormentas para el viernes
289,tormenta,?Nivel amarillo por tormentas. Primavera entra el jueves a las 00:09
290,tormenta,?Tormentas para el fin de semana
291,lluvia,?Un muerto y un desaparecido por lluvias
292,tormenta,?Viernes: pronóstico de tormentas
293,tormenta,?Alerta naranja por fuertes tormentas
294,tormenta,Pou participó del acto por el 209 aniversario del Ejército
295,viento,Pou participó del acto por el 209 aniversario del Ejército 4 nohaydosintres
296,lluvia,Pou participó del acto por el 209 aniversario del Ejército 4 nohaydosintres
297,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
298,viento,"?Meteorología: ""vientos muy fuertes"""
299,lluvia,?Meteorología: lluvias en norte y este
300,lluvia,?Meteorología: lluvias entre jueves y sábado
301,lluvia,?Meteorología: lluvias hasta el sábado
302,lluvia,?Meteorología: lluvias hasta el sábado
303,lluvia,?Meteorología: lluvias jueves y viernes
304,lluvia,?Meteorología: lluvias miércoles y jueves
305,lluvia,?Meteorología: lluvias para el sábado
306,lluvia,?Meteorología: lluvias para martes y miércoles
307,tormenta,?Meteorología: tormentas hacia la noche
308,lluvia,?Podrían evacuar familias por lluvias
309,lluvia,Pou participó del acto por el 209 aniversario del Ejército
310,viento,Pou participó del acto por el 209 aniversario del Ejército
311,viento,?Se inicia reconstrucción tras turbonada
312,lluvia,?Tormentas y lluvias abundantes
313,tormenta,?Tormentas y lluvias abundantes
314,viento,?Turbonada en Cerro Largo y Treinta y Tres
315,lluvia,Pou participó del acto por el 209 aniversario del Ejército
316,viento,Pou participó del acto por el 209 aniversario del Ejército
317,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
318,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
319,lluvia,?Alerta Amarilla por tormentas y abundantes lluvias
320,tormenta,?Alerta Amarilla por tormentas y abundantes lluvias
321,tormenta,Pou participó del acto por el 209 aniversario del Ejército
322,viento,?Destrozos en Artigas por temporal
323,viento,Pou participó del acto por el 209 aniversario del Ejército
324,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
325,lluvia,?Evacuados y rutas cortada
326,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
327,viento,?Vientos de 100 km/h este miércoles
328,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
329,lluvia,?Meteorología: lluvias el fin de semana
330,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
331,ola de frío,Pou participó del acto por el 209 aniversario del Ejércit
332,ola de frío,?Nueva alerta Amarilla por frío y lluvias
333,lluvia,?Nueva alerta Amarilla por frío y lluvias
334,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
335,tormenta,?Pronóstico de tormentas
336,ola de frío,?Tormentas intensas y frío el fin de semana
337,tormenta,?Tormentas intensas y frío el fin de semana
338,tormenta,?Advertencia amarilla por tormentas intensas
339,tormenta,Calor y tormentas este domingo
340,tormenta,?Nueva alerta amarilla por tormentas
341,tormenta,Postales de una tormenta montevideana
342,tormenta,? 100 evacuados por tormentas
343,tormenta,?Advertencia amarilla por tormentas
344,tormenta,?Alerta Naranja por tormentas
345,viento,?Alerta Naranja por vientos y 92 evacuados
346,viento,?Alerta por tormenta y vientos
347,tormenta,?Alerta por tormenta y vientos
348,viento,Recomendaciones del SINA
349,tormenta,Recomendaciones del SINAE
350,ola de calor,?Anuncian aumento de temperatura y tormentas
351,tormenta,?Anuncian aumento de temperatura y tormentas
352,viento,? Árboles caídos por el temporal
353,lluvia,Evacuado
354,viento,Calles cortadas y árboles caídos
355,lluvia,?Casi 800 evacuados en el país alerta naranja meteorológica
356,lluvia,Rutas cortadas y servicios afectado
357,lluvia,?Cientos de evacuados en el norte del país
358,lluvia,Ocho rutas cortadas
359,lluvia,?Complicaciones por las lluvias
360,lluvia,?Complicaciones por las lluvias
361,viento,?Evacuados y cortes de energía
362,lluvia,"?Evacuados, destrozos y rutas cortada"
363,viento,"?Evacuados, destrozos y rutas cortadas"
364,lluvia,?Lluvias entre lunes y martes
365,lluvia,?Lluvias para el sábado
366,lluvia,?Lluvias para las fiestas
367,lluvia,?Lluvias: 33 evacuados en Soriano
368,lluvia,?Lluvias: 33 evacuados en Soriano
369,lluvia,?Lluvias: decenas de evacuados en Durazno
370,lluvia,?Meteorología: lluvias para el domingo
371,lluvia,?Paysandú: evacuados por inundacione
372,lluvia,?Rutas cortadas en trece puntos y más de 1200 evacuados
373,lluvia,?Semana de lluvias
374,lluvia,? 1179 evacuados en el paí
375,viento,? 13 árboles caídos en Montevideo
376,ola de calor,?Advertencia naranja por ola de calor
377,viento,?Advierten por posible turbonada y abundantes lluvias a partir del viernes
378,lluvia,?Advierten por posible turbonada y abundantes lluvias a partir del viernes
379,ola de calor,?Continuará la ola de calor
380,lluvia,?Inundaciones: 692 personas evacuadas
381,lluvia,Metsul alerta por inundaciones
382,lluvia,?Meteorología: pronóstico de lluvias
383,tormenta,?Nueva tormenta el viernes
384,viento,?Ramis confirma temporal de viento
385,tormenta,?Reafirman pronóstico de fuerte tormenta
386,lluvia,?Se suman evacuados en Artigas
387,lluvia,?Treinta y Tres: aumentan evacuado
388,tormenta,?Advertencia amarilla por tormentas
389,tormenta,?Advertencia por tormentas intensas
390,lluvia,Evacuados
391,tormenta,?Alerta amarilla por tormentas intensas
392,ola de calor,?Alerta por calor y tormentas
393,tormenta,?Alerta por calor y tormentas
394,tormenta,?Meteorología prevé lluvias y tormentas hasta el martes
395,lluvia,?Meteorología prevé lluvias y tormentas hasta el martes
396,lluvia,?Meteorología: lluvias el fin de semana
397,tormenta,?Meteorología: tormentas intensas
398,lluvia,?Precipitaciones y tormentas aisladas hasta el martes
399,tormenta,?Precipitaciones y tormentas aisladas hasta el martes
400,lluvia,? 274 desplazados y 6 rutas cortadas 274 desplazados y 6 rutas cortadas
401,tormenta,?Advertencia Amarilla por tormentas hasta las 12:00 del miércoles
402,tormenta,?Advertencia Amarilla por tormentas
403,viento,?Advertencia amarilla por vientos y tormentas
404,tormenta,?Advertencia amarilla por vientos y tormentas
405,tormenta,?Advertencia de Nivel Amarillo para el norte por tormentas intensas
406,lluvia,?Advertencia de nivel amarillo por lluvias abundantes y tormentas
407,tormenta,?Advertencia de nivel amarillo por lluvias abundantes y tormentas
408,tormenta,?Advertencia de nivel amarillo por tormentas
409,tormenta,?Advertencia de Nivel Naranja por tormentas
410,lluvia,?Advertencia naranja por tormentas fuertes y copiosas
411,tormenta,?Advertencia naranja por tormentas fuertes y copiosas
412,tormenta,?Aviso de fuertes tormentas
413,tormenta,?Aviso especial por tormentas fuertes
414,lluvia,Hay 145 evacuados en total
415,tormenta,?Descendió a 81 el número de evacuados por tormentas
416,tormenta,?Descendió a 81 el número de evacuados por tormentas
417,viento,?Destrozos por temporal en el norte
418,lluvia,?Destrozos por temporal en el norte
419,viento,?Destrozos por temporal en el norte
420,viento,Destrozos por temporal en el norte
421,viento,"?Domingo: tormentas, lluvia y fuertes viento"
422,lluvia,"?Domingo: tormentas, lluvia y fuertes vientos"
423,tormenta,"?Domingo: tormentas, lluvia y fuertes vientos"
424,tormenta,?Fin de año con precipitaciones y tormentas
425,lluvia,?Fin de año con precipitaciones y tormentas
426,viento,?Frío y viento para lunes y martes
427,viento,Frío y viento para lunes y martes
428,lluvia,?Pronostican lluvia y tormentas para el fin de semana
429,tormenta,?Pronostican lluvia y tormentas para el fin de semana
430,tormenta,?Riesgo amarillo: tormentas intensas en norte y este del país
431,tormenta,?Salinas fue la zona más afectada por tormentas
432,tormenta,Salinas fue la zona más afectada por tormentas
433,viento,"Montevideo: 40 evacuados, árboles caídos y obstrucción de saneamient"
434,lluvia,"Montevideo: 40 evacuados, árboles caídos y obstrucción de saneamiento"
435,viento,?Sigue advertencia Amarilla por vientos y tormentas
436,tormenta,?Sigue advertencia Amarilla por vientos y tormentas
437,tormenta,?Sigue advertencia por tormentas intensas
438,tormenta,?Tormentas generan menos problemas de los esperados en elecciones
439,tormenta,?Tormentas para año nuevo
440,tormenta,?Tormentas para martes y miércoles
441,tormenta,Tormentas para martes y miércoles
442,lluvia,"?Viento, lluvia y frío para el fin de semana"
443,viento,"?Viento, lluvia y frío para el fin de semana"
444,ola de calor,?Advertencia por ola de calor
445,lluvia,?IM explicó colapso de desagües por lluvia del 26 de diciembre
446,lluvia,?Lluvia seguirá por seis días
447,lluvia,Lluvia seguirá por seis días
448,tormenta,Ola de calor
449,ola de calor,Ola de calor
450,tormenta,El INUMET anuncia aumento de nubosidad con pr ecipitaciones y pr obables tormentas hacia la tar de-noche. La máxima ser á de 32 gr ados.
451,tormenta,Consejos de guar davidas ante tormentas eléctricas
452,lluvia,"El integr ante de Caminer a advirtió que ""la mayoría de los conductor es no adaptan su forma de conducción a las condiciones del pavimento, que cambia cuando llue ve""."
453,ola de calor,El Instituto Uruguayo de Meteor ología emitió una advertencia par a todo el país entr e el mediodía del domingo y el mediodía del miér coles por una intensa ola de calor que afectar á al país.
454,ola de frío,"Dur ante el invierno funciona un Centr o Nocturno de Contingencia, con 50 plazas e xtr a par a atender la mayor demanda r egistr ada dur ante los días de más frío. En caso de que haya advertencia de nivel nar anja, está pr e visto que todos los r efugios funcionen las 24 hor as."
455,rayos,RAYOS Y CENTELLAS
456,lluvia,"Los departamentos de Artigas, Salto y Paysandú mantienen más de 60 desplazados por la cr ecida del Río Uruguay, tr as las intensas lluvias de los últimos días."
457,tormenta,"Dur ante todo el viernes rigió una advertencia nar anja par a gr an parte del país por tormentas fuertes. A partir de las 20:30, el nivel de riesgo fue nar anja par a Artigas, Salto, River a, T acuar embó y Cerr o Lar go y amarillo par a Paysandú, Dur azno,"
458,lluvia,"Este domingo la temper atur a ir á en ascenso y llegar á a 35º en la capital, anuncian tormentas se ver as y lluvias dispersas"
459,tormenta,"Este domingo la temper atur a ir á en ascenso y llegar á a 35º en la capital, anuncian tormentas se ver as y lluvias dispersas."
460,ola de calor,"Este domingo la temper atur a ir á en ascenso y llegar á a 35º en la capital, anuncian tormentas se ver as y lluvias dispersas."
461,ola de calor,La ola de calor r egistr ada en los últimos días pr o vocó que este lunes se dier a un pico de consumo de ener gía eléctrica en los hogar es uruguayos.
462,lluvia,"El Sistema Nacional de Emer gencias informó que este lunes disminuyó a cuatr o el númer o de departamentos afectados por las inundaciones. Hay 4.158 desplazados en Dur azno, T r einta y T r es, T acuar embó y Soriano, y ya r egr esar on a sus casas los e vacuados de Canelones, Colonia, Maldonado y Sar andí del Yí."
463,tormenta,"La Dir ección Nacional de Bomber os debió intervenir en 188 oportunidades en Monte video, San José y Canelones como consecuencia del tempor al que afectó al sur del país en las últimas hor as. Según informó el Sistema Nacional de  Emer gencias (SINAE), todavía quedan 2000 hogar es sin electricidad."
464,lluvia,"De acuer do al último r ele vamiento divulgado por  el Sistema Nacional de Emer gencias (SINAE), asciende a 2326 el númer o de personas desplazadas en todo el territorio nacional a causa del aumento del caudal de distintos ríos y arr o yos debido a las intensas lluvias r egistr adas desde la noche del 11 de agosto."
465,lluvia,"La Dir ección Nacional de Policía informó que hay dos rutas cortadas en distintos tr amos: la Ruta 27 a la altur a del kilómetr o 5,500, en el par aje Chalet El Gato (River a), y, en Bella Unión,  la Ruta 30 en el kilómetr o 96 (Arr o yo T r es Cruces), en el kilómetr o 61 (Cañada de La Quinta), y en el kilómetr o 60 (Arr o yo Cuar ó)."
466,tormenta,"Hay 12 e vacuados por intensas tormentas: siete en T r einta y T r es y cinco en Colonia. Además, el Sinae informó sobr e rutas cortadas y daños en la r ed eléctrica de distribución de todo el país. UTE lle va r egistr ados un total de 8.500 r eclamos."
467,viento,"Los fuertes vientos vinculados al fenómeno meteor ológico que sacude Uruguay ocasionar on daños en la r ed eléctrica de distribución, según informó UTE."
468,lluvia,"? 40 evacuados en Dolores, tras lluvias del domingo"
469,lluvia,"Cavani en Napoli: “Era una máquina. Acababa la práctica y corría una hora” 40 evacuados en Dolores, tras lluvias del domingo"
470,lluvia,"-23 40 evacuados en Dolores, tras lluvias del domingo"
471,lluvia,"+15 0 15 40 evacuados en Dolores, tras lluvias del domingo"
472,viento,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm)."
473,tormenta,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm)."
474,lluvia,Alerta naranja por lluvias y tormentas en el norte; hay 33 desplazados -..
475,tormenta,Alerta naranja por lluvias y tormentas en el norte; hay 33 desplazados -...
476,tornado,Ejército Nacional colabora con damnificados por el tornad
477,lluvia,?Fin de semana lluvioso y con rachas de viento de hasta 70 km/h
478,viento,?Fin de semana lluvioso y con rachas de viento de hasta 70 km/h
479,lluvia,", y tienen a disposición edificios públicos ante la posibilidad de que haya evacuados, situación que aún no se registró."
480,tornado,"A su vez, personal del Ejército y Bomberos coopera en las tareas de limpieza."
481,lluvia,"Hasta ayer debido a las abundantes lluvias caídas durante las últimas horas, hay un total de 3.623 personas desplazadas en 13 departamentos del país, según el último comunicado emitido por el Sistema Nacional de Emergencia (Sinae) a las 18:00 hora"
482,tormenta,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.)"
483,viento,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.)."
484,lluvia,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.)."
485,viento,"Al final habrá o no tormentas y viento,no entiendo si el informe es viejo o no.aclaren bien porque da a confusión.gracias"
486,tormenta,"Al final habrá o no tormentas y viento,no entiendo si el informe es viejo o no.aclaren bien porque da a confusión.gracias"
487,viento,Eso que dan es del 2016. Entren a metsul por face y la noticia es actual y abajo aclara que la gente divulgó una noticia del 2014. Algo de lluvia y algo de viento va a venir parece q no muy fuertes.
488,viento,Eso que dan es del 2016. Entren a metsul por face y la noticia es actual y abajo aclara que la gente divulgó una noticia del 2014. Algo de lluvia y algo de viento va a venir parece q no muy fuertes.
489,lluvia,El presidente Tabaré Vázquez recorrió hoy la ciudad de San Ramón con el objetivo de conocer cómo se estaban implementando las medidas preventivas ante la posible crecida del Río Santa Lucía. Así como visitó a los evacuados afectados por las intensas lluvias de los últimos días
490,tornado,"A ocho meses de ese día, aún unas 100 personas siguen viviendo en unos treinta y cinco contenedores de poco más de diez metros cuadrados, algo así como una habitación grande para en algunos casos matrimonios con hijos. “Es complicado vivir ahí, sobre todo con estos calores”, afirmó el jefe municipal. A ellos, aún el Ejército les sigue preparando la comida, que es distribuida por la"
491,tornado,Intendencia de Soriano (IS).
492,viento,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm)."
493,tormenta,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm)."
494,viento,"Se prevén precipitaciones abuntantes entre 20-50 mm en 6 horas, ocasional caída de granizo, rachas de viento fuerte del SW entre 60-75 km/h e intensa actividad eléctrica."
495,lluvia,"Se prevén precipitaciones abuntantes entre 20-50 mm en 6 horas, ocasional caída de granizo, rachas de viento fuerte del SW entre 60-75 km/h e intensa actividad eléctrica."
496,viento,"""Una masa de aire cálido e inestable en interacción con un frente frío que se aproxima por el suroeste, genera el desarrollo de tormentas, con ocasional precipitación de granizo, intensa actividad eléctrica, probables rachas de viento entre 60-75 km/h, y precipitaciones entre 20-40 mm en seis horas"", se advierte"
497,lluvia,"""Una masa de aire cálido e inestable en interacción con un frente frío que se aproxima por el suroeste, genera el desarrollo de tormentas, con ocasional precipitación de granizo, intensa actividad eléctrica, probables rachas de viento entre 60-75 km/h, y precipitaciones entre 20-40 mm en seis horas"", se advierte."
498,tormenta,"""Una masa de aire cálido e inestable en interacción con un frente frío que se aproxima por el suroeste, genera el desarrollo de tormentas, con ocasional precipitación de granizo, intensa actividad eléctrica, probables rachas de viento entre 60-75 km/h, y precipitaciones entre 20-40 mm en seis horas"", se advierte."
499,lluvia,"En Artigas, Salto, Rivera, Tacuarembó y Cerro Largo, se señala que una ""masa aire cálida, húmeda e inestable continúa interaccionando con frente frío que se desplaza lentamente del Suroeste al Norte"" lo que favorece que continúen desarrollándose tormentas, acompañadas de ""precipitaciones copiosas (50 - 80 mm en 6 hs.), intensa actividad eléctrica, caída de granizo y rachas de viento muy fuerte entre 75 - 100 km/h"""
